time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
5626,7,1850,-16.419513099999996,44244,30.55,0.00073,2.1221299171447754,0.021589258685708046,41243,7.763070583343506,-20.707578659057617
5656,7,1860,-16.19716142,44464,30.08,0.00073,5.0423431396484375,0.021758580580353737,41463,7.764902591705322,-20.027362823486328
5683,7,1870,-15.614248979999998,44665,28.72,0.00073,-10.661218643188477,0.021026387810707092,41664,7.116177558898926,-19.462858200073242
5710,7,1880,-15.088923820000002,44866,27.66,0.00073,8.448298454284668,0.020436322316527367,41865,6.737614154815674,-21.676462173461914
5758,7,1890,-15.368946150000001,45220,28.18,0.00073,-1.5199239253997803,0.02111678570508957,42219,6.525875091552734,-18.35991668701172
5796,7,1900,-15.722653880000001,45504,28.11,0.00073,-1.7282696962356567,0.020373569801449776,42503,7.857602596282959,-17.58526039123535
5823,7,1910,-16.05669159,45702,27.51,0.00073,-9.879201889038086,0.020640328526496887,42701,6.565335273742676,-21.47466278076172
5871,7,1920,-16.46993231,46059,27.74,0.00073,16.83527183532715,0.021156128495931625,43058,7.988253593444824,-21.339759826660156
5907,7,1930,-16.798234540000003,46320,28.04,0.00073,-8.051753044128418,0.020166484639048576,43319,7.991227149963379,-18.609228134155273
5960,7,1940,-16.848164450000002,46713,27.77,0.00073,4.302793502807617,0.01918615587055683,43712,7.329861640930176,-19.844804763793945
6008,7,1950,-16.871899199999998,47072,28.28,0.00073,12.98984432220459,0.01966136321425438,44071,5.934688568115234,-19.319747924804688
6055,7,1960,-17.179976100000005,47424,29.6,0.00073,4.852603912353516,0.018418511375784874,44423,6.251297950744629,-18.092788696289062
6103,7,1970,-17.983729699999998,47780,31.15,0.00073,6.226704120635986,0.017540615051984787,44779,5.767641067504883,-15.076904296875
6130,7,1980,-18.170115569999997,47978,31.12,0.00073,-4.043822288513184,0.017063302919268608,44977,5.574673652648926,-13.709138870239258
6157,7,1990,-17.63976122,48180,29.6,0.00073,-0.8291643857955933,0.016832197085022926,45179,5.182882785797119,-14.34961223602295
6196,7,2000,-17.14757155,48470,29.66,0.00073,9.314824104309082,0.0171958040446043,45469,5.624627113342285,-17.12285041809082
6234,7,2010,-17.07038577,48745,30.43,0.00073,7.977449417114258,0.017042705789208412,45744,5.754857540130615,-14.988584518432617
6282,7,2020,-16.52260497,49100,30.41,0.00073,-8.036846160888672,0.016651954501867294,46099,5.02205753326416,-14.458501815795898
6327,7,2030,-16.54489239,49423,31.03,0.00073,-10.3877592086792,0.01572977751493454,46422,4.855551719665527,-11.816178321838379
6366,7,2040,-15.90162379,49714,30.01,0.00073,-5.944210052490234,0.01540941372513771,46713,4.479694366455078,-12.095235824584961
6409,7,2050,-15.511773849999997,50032,29.6,0.00073,-0.205633282661438,0.0155379893258214,47031,4.529913902282715,-12.55721664428711
6456,7,2060,-15.44446346,50373,29.49,0.00073,14.12980842590332,0.015162941068410873,47372,4.785120964050293,-14.315577507019043
6502,7,2070,-15.242813430000002,50715,29.35,0.00073,-4.264650344848633,0.015614312142133713,47714,4.457680702209473,-12.151243209838867
6547,7,2080,-15.808582679999999,51042,30.64,0.00073,5.9775238037109375,0.015472475439310074,48041,4.314093589782715,-11.843587875366211
6602,7,2090,-16.773199090000002,51455,32.75,0.00073,-6.833442687988281,0.01429353840649128,48454,4.004866123199463,-10.60932731628418
6636,7,2100,-16.798334360000002,51709,32.39,0.00073,-5.822124481201172,0.014501864090561867,48708,5.524029731750488,-10.209346771240234
6676,7,2110,-17.21430709,51999,32.54,0.00073,-4.090508937835693,0.015239826403558254,48998,4.078163146972656,-10.194232940673828
6706,7,2120,-16.763208310000003,52216,31.16,0.00073,-5.713020324707031,0.015804508700966835,49215,4.50791072845459,-11.32243824005127
6744,7,2130,-16.49777954,52494,30.71,0.00073,11.041339874267578,0.015394967049360275,49493,4.179795265197754,-14.42624282836914
6787,7,2140,-16.74554043,52807,30.93,0.00073,8.585442543029785,0.014953173696994781,49806,5.068768501281738,-13.210329055786133
6832,7,2150,-17.102283779999997,53141,31.09,0.00073,16.60706901550293,0.01478554680943489,50140,6.046862602233887,-14.371236801147461
