time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
101095,13358,7,747.6987783299999,100.0,1240,4.0517377853393555,0.00073,0.03053540363907814,98094,-3.8975133895874023,-262.7424011230469
102095,13496,7,749.0465391899999,100.0,1250,6.048958778381348,0.00073,0.0303603895008564,99094,7.753368377685547,-261.1568603515625
103095,13634,7,749.2705298800001,100.0,1260,4.715795516967773,0.00073,0.03157205879688263,100094,2.4347972869873047,-265.63604736328125
104095,13773,7,749.0452964000001,100.0,1270,5.2447991371154785,0.00073,0.03037061169743538,101094,2.0659306049346924,-268.6697082519531
105095,13913,7,742.16510139,100.0,1280,6.583889961242676,0.00073,0.030871188268065453,102094,1.6585826873779297,-273.9656982421875
106095,14051,7,716.9495704900002,100.0,1290,5.16563081741333,0.00073,0.029404733330011368,103094,10.255071640014648,-272.53662109375
107095,14190,7,717.55304742,100.0,1300,4.689831733703613,0.00073,0.031088272109627724,104094,-1.279749870300293,-267.2395324707031
108095,14329,7,717.9747395399999,100.0,1310,4.502196311950684,0.00073,0.03103778511285782,105094,10.04538345336914,-269.6746826171875
109095,14466,7,720.5410025399998,100.0,1320,11.574378967285156,0.00073,0.03231764957308769,106094,4.094841957092285,-275.301025390625
110095,14604,7,719.0147771800001,100.0,1330,5.1349992752075195,0.00073,0.0310096126049757,107094,-2.531806707382202,-282.2605895996094
111095,14742,7,710.3861881900001,100.0,1340,5.083175182342529,0.00073,0.030835533514618874,108094,-6.166812896728516,-281.5487365722656
112095,14882,7,711.9645626299998,100.0,1350,4.6500959396362305,0.00073,0.030011503025889397,109094,0.5080908536911011,-280.1565856933594
113095,15018,7,712.97598814,100.0,1360,4.615773677825928,0.00073,0.02928057685494423,110094,-0.27647343277931213,-279.20257568359375
114095,15159,7,711.1078713500002,100.0,1370,4.783123970031738,0.00073,0.030489318072795868,111094,-2.1499197483062744,-278.3702087402344
115095,15297,7,718.83358501,100.0,1380,4.791741847991943,0.00073,0.03092443384230137,112094,3.664963483810425,-284.3452453613281
116095,15437,7,745.30492304,100.0,1390,4.4191155433654785,0.00073,0.03158406913280487,113094,4.734002590179443,-279.87774658203125
117095,15576,7,745.7099361400001,100.0,1400,5.59165620803833,0.00073,0.03191075846552849,114094,-4.676887035369873,-282.51556396484375
118095,15714,7,745.8391287899999,100.0,1410,4.898719787597656,0.00073,0.03064579702913761,115094,-0.26844528317451477,-283.85968017578125
119095,15853,7,746.0166719900001,100.0,1420,11.909599304199219,0.00073,0.030794823542237282,116094,-1.8360471725463867,-287.5074462890625
120095,15990,7,748.3949331500002,100.0,1430,4.522283554077148,0.00073,0.03147076070308685,117094,3.0927722454071045,-286.9533386230469
121095,16127,7,758.02760153,100.0,1440,4.597169399261475,0.00073,0.031254008412361145,118094,-2.669295310974121,-287.41497802734375
122095,16266,7,758.3270284,100.0,1450,4.379713535308838,0.00073,0.030749645084142685,119094,-2.0846426486968994,-286.5328674316406
123095,16405,7,758.1698919700002,100.0,1460,3.354114294052124,0.00073,0.031135426834225655,120094,-0.5737919807434082,-288.9109802246094
124095,16543,7,761.4804536699999,100.0,1470,3.6799392700195312,0.00073,0.03174791485071182,121094,2.1440553665161133,-288.4710693359375
125095,16680,7,762.3204446200001,100.0,1480,4.315467834472656,0.00073,0.03133974224328995,122094,-2.1051554679870605,-289.4918518066406
126095,16818,7,764.6748419799998,100.0,1490,3.653066635131836,0.00073,0.03195200487971306,123094,-4.820044994354248,-290.5240783691406
127095,16957,7,764.93715117,100.0,1500,4.6338677406311035,0.00073,0.031681887805461884,124094,3.05121111869812,-288.66998291015625
128095,17095,7,764.9657026799998,100.0,1510,3.8888018131256104,0.00073,0.03142796829342842,125094,-1.515503168106079,-294.12176513671875
129095,17233,7,760.4362817499999,100.0,1520,3.6745758056640625,0.00073,0.03174840658903122,126094,-4.111255645751953,-290.5162048339844
130095,17370,7,760.2330480800001,100.0,1530,3.5967884063720703,0.00073,0.03191107138991356,127094,3.8778467178344727,-290.7648010253906
131095,17509,7,760.08603708,100.0,1540,4.580196857452393,0.00073,0.03130977228283882,128094,5.2260823249816895,-291.20867919921875
132095,17648,7,759.9277055199999,100.0,1550,3.79974365234375,0.00073,0.031669892370700836,129094,7.30921745300293,-291.87896728515625
133095,17787,7,759.9446491200002,100.0,1560,4.038107872009277,0.00073,0.031668368726968765,130094,-4.6342878341674805,-292.1459655761719
134095,17925,7,759.5233738600001,100.0,1570,3.5844273567199707,0.00073,0.0304261427372694,131094,1.4730591773986816,-295.71435546875
135095,18062,7,759.2740619300001,100.0,1580,13.572883605957031,0.00073,0.03183400258421898,132094,-2.5613181591033936,-291.87738037109375
136095,18201,7,758.6385902799999,100.0,1590,3.6043806076049805,0.00073,0.031805552542209625,133094,0.3441827893257141,-293.32635498046875
137095,18339,7,758.9549583300001,100.0,1600,5.007951736450195,0.00073,0.031284768134355545,134094,2.55023193359375,-295.69403076171875
138095,18476,7,759.1983438700001,100.0,1610,3.930055618286133,0.00073,0.031199265271425247,135094,-0.8426041007041931,-294.4101257324219
139095,18613,7,763.8170108700001,100.0,1620,3.7493393421173096,0.00073,0.030647704377770424,136094,1.8737057447433472,-296.1540832519531
140095,18752,7,764.0879895500001,100.0,1630,3.4182305335998535,0.00073,0.03179117664694786,137094,-1.483269453048706,-295.3563537597656
141095,18890,7,763.8021192299998,100.0,1640,4.2996368408203125,0.00073,0.030965076759457588,138094,-1.7159888744354248,-299.6665954589844
142095,19028,7,756.96041411,100.0,1650,4.31719970703125,0.00073,0.03036665916442871,139094,-3.120238780975342,-299.9039306640625
143095,19164,7,756.8025237500001,100.0,1660,3.7676634788513184,0.00073,0.03104070946574211,140094,2.4236462116241455,-300.1156921386719
144095,19302,7,757.2427602599997,100.0,1670,5.129090785980225,0.00073,0.030537165701389313,141094,8.149346351623535,-299.42120361328125
145095,19439,7,757.45652223,100.0,1680,22.665403366088867,0.00073,0.031591638922691345,142094,2.812161445617676,-301.04119873046875
146095,19576,7,758.2591288500001,100.0,1690,4.828202247619629,0.00073,0.03156772628426552,143094,3.630764961242676,-301.6142272949219
147095,19712,7,758.2645698100001,100.0,1700,3.496641159057617,0.00073,0.03145710751414299,144094,-3.5695958137512207,-303.18438720703125
148095,19849,7,757.9597022999999,100.0,1710,4.727469444274902,0.00073,0.031000209972262383,145094,2.3129875659942627,-302.06048583984375
149095,19986,7,757.9367174199999,100.0,1720,4.157619476318359,0.00073,0.030647147446870804,146094,4.482861042022705,-301.5764465332031
150095,20123,7,757.8271191200001,100.0,1730,3.667850971221924,0.00073,0.031173190101981163,147094,-5.472503185272217,-303.5557861328125
151095,20263,7,758.1915375400001,100.0,1740,2.755406379699707,0.00073,0.03086029551923275,148094,2.739928722381592,-301.4886169433594
152095,20401,7,765.28946558,100.0,1750,3.8912386894226074,0.00073,0.03186565265059471,149094,-3.317939281463623,-304.74310302734375
153095,20539,7,765.89341404,100.0,1760,4.9809088706970215,0.00073,0.031090689823031425,150094,-0.43901997804641724,-304.8876647949219
154095,20679,7,765.95157857,100.0,1770,4.112900257110596,0.00073,0.030950795859098434,151094,8.165800094604492,-307.15142822265625
155095,20819,7,765.89744278,100.0,1780,47.74298858642578,0.00073,0.03108063153922558,152094,-3.501887798309326,-304.08203125
156095,20959,7,765.97731757,100.0,1790,3.2454113960266113,0.00073,0.03086843527853489,153094,5.733606338500977,-304.3522644042969
157095,21098,7,765.9337061800001,100.0,1800,3.568856954574585,0.00073,0.029987234622240067,154094,0.5237864255905151,-307.1409606933594
158095,21237,7,766.16878853,100.0,1810,3.384110927581787,0.00073,0.030768491327762604,155094,-3.6348917484283447,-305.53558349609375
159095,21376,7,766.03741102,100.0,1820,3.028749465942383,0.00073,0.030554426833987236,156094,1.693359613418579,-307.0766296386719
160095,21515,7,765.92076178,100.0,1830,6.100494384765625,0.00073,0.030389023944735527,157094,1.1691806316375732,-305.450927734375
161095,21654,7,765.2265320600001,100.0,1840,4.192683696746826,0.00073,0.030532987788319588,158094,-4.348494529724121,-306.453857421875
162095,21792,7,765.08855387,100.0,1850,3.504244804382324,0.00073,0.030603302642703056,159094,2.940108299255371,-309.9012756347656
163095,21931,7,764.7874496000001,100.0,1860,3.4953558444976807,0.00073,0.03035295568406582,160094,2.432670831680298,-314.8978271484375
164095,22071,7,764.4153456799999,100.0,1870,4.0743632316589355,0.00073,0.030470525845885277,161094,-4.996252059936523,-309.23663330078125
