time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,train/critic_loss
2090,13398,338.1227061499999,104079,99.02,7,-9.718029975891113,0.00073,101078,-187.701416015625,0.030950699001550674,27.966136932373047
2100,13535,333.92390173,105079,99.02,7,14.960001945495605,0.00073,102078,-188.90171813964844,0.03051755763590336,82.40548706054688
2110,13673,336.39451713999995,106079,99.02,7,-9.257170677185059,0.00073,103078,-186.24307250976562,0.030655376613140106,26.535263061523438
2120,13812,335.56505981999993,107079,99.02,7,0.29911983013153076,0.00073,104078,-191.19345092773438,0.03008553571999073,28.39348030090332
2130,13949,336.04863969999997,108079,99.02,7,11.142126083374023,0.00073,105078,-186.47946166992188,0.030680879950523376,86.51911926269531
2140,14086,344.93697854999994,109079,100.0,7,1.8389625549316406,0.00073,106078,-184.9794921875,0.03165839612483978,19.509613037109375
2150,14208,345.22564857000003,109981,99.02,7,-9.01093578338623,0.00073,106980,-185.9494171142578,0.030419135466217995,31.38257598876953
2160,14345,346.28299403000005,110981,99.02,7,12.003843307495117,0.00073,107980,-183.5615234375,0.029245512560009956,17.990924835205078
2170,14481,346.39310531999996,111981,99.02,7,-0.5422304272651672,0.00073,108980,-184.32127380371094,0.029432304203510284,15.04092025756836
2180,14617,350.87228523,112981,99.02,7,0.7930060625076294,0.00073,109980,-186.1526641845703,0.02904670313000679,24.64723014831543
2190,14753,356.60629482999997,113981,99.02,7,-3.6988184452056885,0.00073,110980,-185.1863555908203,0.030810635536909103,22.330078125
2200,14890,363.04025732,114981,99.02,7,-3.7099287509918213,0.00073,111980,-188.184326171875,0.02936134859919548,15.205822944641113
2210,15025,367.80034154000003,115981,99.02,7,-3.2105295658111572,0.00073,112980,-186.23915100097656,0.02820681966841221,35.66044235229492
2220,15162,371.73815134000006,116981,99.02,7,1.3708425760269165,0.00073,113980,-187.95582580566406,0.02751651406288147,65.37732696533203
2230,15300,370.31796345000004,117981,99.02,7,-1.132840871810913,0.00073,114980,-186.81838989257812,0.027349580079317093,20.352092742919922
2240,15440,365.85481717999994,118981,99.02,7,-11.314943313598633,0.00073,115980,-187.29507446289062,0.027667080983519554,11.182905197143555
2250,15578,369.81784801000003,119981,100.0,7,13.233291625976562,0.00073,116980,-185.34420776367188,0.025652248412370682,13.642871856689453
2260,15714,370.14235024999994,120981,100.0,7,-0.12826073169708252,0.00073,117980,-184.7739715576172,0.026384495198726654,19.29905891418457
2270,15851,375.96705268,121981,100.0,7,1.4396965503692627,0.00073,118980,-187.4252471923828,0.02572023682296276,27.225343704223633
2280,15987,373.51906562999994,122981,100.0,7,-16.987136840820312,0.00073,119980,-184.46009826660156,0.025914745405316353,17.48223876953125
2290,16124,372.79436242,123981,100.0,7,1.351595163345337,0.00073,120980,-188.33856201171875,0.025207174941897392,11.431421279907227
2300,16259,373.72285235000004,124981,100.0,7,-2.3016886711120605,0.00073,121980,-188.508544921875,0.02528470568358898,11.061643600463867
2310,16395,370.8019844000001,125981,100.0,7,3.054137706756592,0.00073,122980,-187.4200897216797,0.025959664955735207,25.078121185302734
2320,16531,365.60203535,126981,100.0,7,-10.728769302368164,0.00073,123980,-189.20620727539062,0.02480737492442131,11.650007247924805
2330,16666,367.99442686000003,127981,100.0,7,3.1978492736816406,0.00073,124980,-188.56707763671875,0.024464832618832588,23.2294921875
2340,16802,370.3922878199999,128981,100.0,7,6.305960655212402,0.00073,125980,-187.32647705078125,0.024295620620250702,19.372182846069336
2350,16937,370.8514593,129981,100.0,7,1.839104175567627,0.00073,126980,-188.1959228515625,0.024688364937901497,14.578441619873047
2360,17072,370.96548238,130981,100.0,7,1.602751612663269,0.00073,127980,-190.4664306640625,0.025379903614521027,27.175312042236328
2370,17208,366.8383530200001,131981,100.0,7,-0.49008041620254517,0.00073,128980,-189.97189331054688,0.024729598313570023,141.53048706054688
2380,17345,369.54452004000007,132981,100.0,7,-0.12246882915496826,0.00073,129980,-187.8548583984375,0.024653485044836998,27.542007446289062
2390,17482,370.3927638099999,133981,100.0,7,-8.485382080078125,0.00073,130980,-191.05685424804688,0.024738159030675888,11.131364822387695
2400,17617,369.43139605,134981,100.0,7,7.2910847663879395,0.00073,131980,-187.8675537109375,0.02307049371302128,15.650115966796875
2410,17754,371.7035816,135981,100.0,7,3.570726156234741,0.00073,132980,-188.12815856933594,0.022776568308472633,46.260765075683594
2420,17889,374.87700587000006,136981,100.0,7,-3.544419288635254,0.00073,133980,-191.45387268066406,0.023705169558525085,12.176337242126465
2430,17998,366.19982748,137785,98.04,7,-4.305531024932861,0.00073,134784,-189.38394165039062,0.024633057415485382,20.198657989501953
2440,18135,366.0962073900001,138785,98.04,7,5.5374956130981445,0.00073,135784,-189.49090576171875,0.022411052137613297,10.521291732788086
2450,18271,369.1446587,139785,98.04,7,0.2501680850982666,0.00073,136784,-187.8889617919922,0.02309986762702465,10.418133735656738
2460,18407,370.72454792999997,140785,98.04,7,8.468599319458008,0.00073,137784,-188.50059509277344,0.021548356860876083,15.915210723876953
2470,18544,368.37497793999995,141785,98.04,7,7.968684196472168,0.00073,138784,-187.36940002441406,0.02220013737678528,34.09252166748047
2480,18680,370.38335261,142785,98.04,7,-10.948624610900879,0.00073,139784,-191.17877197265625,0.022142505273222923,15.870548248291016
