rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-8.52586597,1670,4260,34477,8,19.73,0.00073,15.205568313598633,0.0010892737191170454,4.092780590057373,0.031163837760686874,31476
-8.852023290000002,1680,4296,34737,8,20.18,0.00073,9.67585563659668,0.001090818434022367,4.133657455444336,0.033964626491069794,31736
-8.834746780000001,1690,4324,34943,8,20.17,0.00073,8.410417556762695,0.0010979268699884415,4.18341064453125,0.026177898049354553,31942
-8.866850809999999,1700,4352,35141,8,20.28,0.00073,-6.124985694885254,0.0011813031742349267,4.268569469451904,0.032788753509521484,32140
-8.80137926,1710,4378,35336,8,20.39,0.00073,-18.110576629638672,0.0011683147167786956,4.128299713134766,0.02621685154736042,32335
-8.850753699999999,1720,4405,35529,8,20.42,0.00073,9.936819076538086,0.0011378779308870435,4.132835388183594,0.027419820427894592,32528
-8.74505159,1730,4432,35722,8,20.56,0.00073,14.21536922454834,0.00113079440779984,4.116695880889893,0.02216295897960663,32721
-8.48608385,1740,4458,35917,8,20.53,0.00073,4.563194274902344,0.0011779597261920571,4.150379180908203,0.02542310580611229,32916
-8.285146919999999,1750,4484,36104,8,19.9,0.00073,6.5182061195373535,0.0011897062649950385,4.092629909515381,0.02406463399529457,33103
-7.831824419999999,1760,4508,36278,8,19.94,0.00073,-11.888433456420898,0.0011826874688267708,4.041932582855225,0.02083587646484375,33277
-7.71662545,1770,4535,36479,8,20.02,0.00073,-8.137826919555664,0.0011422813404351473,4.067065715789795,0.022588185966014862,33478
-7.46667479,1780,4564,36694,8,19.57,0.00073,-13.1356201171875,0.0010807107901200652,4.010041236877441,0.026177607476711273,33693
-7.567516830000001,1790,4596,36929,8,19.86,0.00073,-6.024052143096924,0.0010282620787620544,4.176200866699219,0.02051505818963051,33928
-7.46615991,1800,4623,37127,8,19.86,0.00073,5.200925827026367,0.001022755983285606,4.1890339851379395,0.01995062455534935,34126
-7.7946383799999985,1810,4647,37311,8,19.75,0.00073,-9.477023124694824,0.0010901216883212328,4.266478061676025,0.024267517030239105,34310
-7.818642140000001,1820,4672,37503,8,19.74,0.00073,-11.270081520080566,0.0010623468551784754,4.1020636558532715,0.023352719843387604,34502
-7.5988899000000005,1830,4697,37690,8,19.68,0.00073,1.5118427276611328,0.0010927477851510048,4.017725944519043,0.022099362686276436,34689
-7.548509489999999,1840,4723,37886,8,19.69,0.00073,2.777217388153076,0.0010868575191125274,4.274271011352539,0.027800865471363068,34885
-7.76192753,1850,4751,38096,8,19.92,0.00073,2.8103387355804443,0.0010924044763669372,4.0883469581604,0.024818815290927887,35095
-7.78963632,1860,4776,38282,8,20.04,0.00073,19.86931800842285,0.0010861902264878154,4.264715194702148,0.027119824662804604,35281
