time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
13227,1710,7,451.44276217,74.73,101359,0.0662526935338974,0.00073,14.960586547851562,0.030934765934944153,-210.5741424560547,98358
13328,1720,7,453.42794903000004,74.73,102109,0.06513050198554993,0.00073,19.229480743408203,3.3708372116088867,-185.908935546875,99108
13429,1730,7,487.77462592999996,75.0,102859,0.06467146426439285,0.00073,16.125293731689453,-1.950162410736084,-202.34164428710938,99858
13528,1740,7,484.05540005999995,74.8,103589,0.06430738419294357,0.00073,14.870254516601562,-1.058590054512024,-196.92623901367188,100588
13625,1750,7,465.77151443,74.34,104293,0.06688746809959412,0.00073,18.424633026123047,0.8939762115478516,-203.29345703125,101292
13724,1760,7,458.35302684999994,74.19,105028,0.06669965386390686,0.00073,20.32638931274414,5.791213035583496,-192.09210205078125,102027
13826,1770,7,444.8917756799999,74.07,105766,0.06789670139551163,0.00073,14.259103775024414,-4.671386241912842,-217.93263244628906,102765
13918,1780,7,413.14658184,73.32,106441,0.06593921035528183,0.00073,21.312381744384766,-2.809483051300049,-189.2489471435547,103440
14018,1790,7,412.69580932,73.32,107191,0.06512928754091263,0.00073,19.197463989257812,0.005391031503677368,-205.48947143554688,104190
14119,1800,7,416.06469295000005,73.32,107941,0.06348990648984909,0.00073,15.582480430603027,4.236320972442627,-204.65667724609375,104940
14221,1810,7,416.75293653,73.32,108691,0.06421850621700287,0.00073,15.772727966308594,-3.4371962547302246,-199.15162658691406,105690
14323,1820,7,418.69881167000005,73.32,109441,0.06336584687232971,0.00073,23.847545623779297,7.086465358734131,-207.82040405273438,106440
14423,1830,7,421.0000748499999,73.32,110191,0.06613191962242126,0.00073,13.87872314453125,3.8822638988494873,-216.76634216308594,107190
14524,1840,7,428.41613996,73.52,110941,0.06332562118768692,0.00073,17.88541603088379,0.24737346172332764,-215.88294982910156,107940
14624,1850,7,439.84825922000005,73.93,111686,0.06463613361120224,0.00073,21.945926666259766,0.17097187042236328,-203.50045776367188,108685
14724,1860,7,443.46674126,74.04,112432,0.06220332160592079,0.00073,11.678523063659668,-1.4833606481552124,-214.1264190673828,109431
14824,1870,7,453.69096115999986,74.1,113176,0.06340581923723221,0.00073,16.733858108520508,2.0503647327423096,-212.0502471923828,110175
14926,1880,7,482.06701939000004,74.85,113926,0.06341954320669174,0.00073,16.733638763427734,2.7559967041015625,-216.69239807128906,110925
15023,1890,7,473.99022686000006,74.47,114638,0.0610872358083725,0.00073,25.71851348876953,0.8366129398345947,-214.54119873046875,111637
