time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
120000,1200,16305,100.0,778.2330450200002,7,0.0196745116263628,0.00073,0.05828038603067398,0.585611879825592,-392.0037536621094,116999
121000,1210,16446,100.0,778.39269309,7,0.018767084926366806,0.00073,-0.7374582290649414,0.3043670952320099,-392.6481628417969,117999
122000,1220,16586,100.0,778.71322431,7,0.01990731619298458,0.00073,-1.6805527210235596,0.6141708493232727,-392.2589111328125,118999
123000,1230,16727,100.0,778.5913749499999,7,0.020016299560666084,0.00073,1.495585322380066,0.6656671762466431,-393.2355041503906,119999
124000,1240,16868,100.0,778.47079525,7,0.019459782168269157,0.00073,-0.9590781927108765,0.7200508117675781,-393.12890625,120999
125000,1250,17008,100.0,778.63049908,7,0.018809787929058075,0.00073,0.6846683621406555,0.6103769540786743,-392.6989440917969,121999
126000,1260,17149,100.0,778.6717144200001,7,0.01903994381427765,0.00073,-0.23916339874267578,0.4568425416946411,-393.6863708496094,122999
127000,1270,17290,100.0,778.7920325300001,7,0.019545122981071472,0.00073,1.2805458307266235,0.5414652824401855,-392.401611328125,123999
128000,1280,17433,100.0,778.71268995,7,0.019407998770475388,0.00073,0.024210065603256226,0.9771878719329834,-393.55157470703125,124999
129000,1290,17575,100.0,778.59253244,7,0.018634939566254616,0.00073,-1.9844343662261963,0.6838462352752686,-394.05633544921875,125999
130000,1300,17715,100.0,778.75414646,7,0.018935834988951683,0.00073,-0.3354696035385132,0.43802809715270996,-393.0357666015625,126999
131000,1310,17855,100.0,778.7965098599999,7,0.018384015187621117,0.00073,-1.5065717697143555,0.18512561917304993,-393.580322265625,127999
132000,1320,17994,100.0,778.7564241399999,7,0.017877832055091858,0.00073,0.6286351084709167,1.2444921731948853,-392.5944519042969,128999
133000,1330,18134,100.0,779.1193176499999,7,0.017734874039888382,0.00073,-1.249948263168335,0.4607086777687073,-393.14520263671875,129999
134000,1340,18274,100.0,779.43927633,7,0.0179717056453228,0.00073,-1.490896463394165,0.6941308975219727,-393.2174987792969,130999
