time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
4281,7,32995,1510,23.27,-11.300134600000002,0.00073,3.5016300678253174,0.07524606585502625,1.3946424722671509,0.0025376526173204184,29994
4310,7,33201,1520,23.14,-11.26636526,0.00073,3.7476067543029785,0.06884022802114487,-0.8513400554656982,0.0023773268330842257,30200
4350,7,33491,1530,24.04,-11.53092403,0.00073,3.8098387718200684,0.07295674830675125,-2.3193886280059814,0.002323869150131941,30490
4383,7,33732,1540,23.92,-11.4394147,0.00073,3.5626273155212402,0.06408493220806122,-4.147231101989746,0.0022247410379350185,30731
4413,7,33947,1550,23.4,-11.37836595,0.00073,3.7474942207336426,0.06959809362888336,-7.597578048706055,0.00218421733006835,30946
4447,7,34198,1560,22.79,-10.992337479999998,0.00073,3.5846285820007324,0.06353539228439331,0.6523838043212891,0.0021565428469330072,31197
4476,7,34408,1570,22.61,-10.712948259999996,0.00073,3.888610363006592,0.06711231917142868,-5.910841941833496,0.002058973303064704,31407
4501,7,34592,1580,21.59,-10.508567450000001,0.00073,3.8501334190368652,0.06629541516304016,-18.887060165405273,0.0021443211007863283,31591
4533,7,34827,1590,22.25,-10.616894330000001,0.00073,3.8479857444763184,0.06976363062858582,9.225519180297852,0.0022519126068800688,31826
4562,7,35044,1600,22.57,-10.476784850000001,0.00073,3.7859480381011963,0.07747772336006165,6.21999979019165,0.0022008109372109175,32043
4587,7,35226,1610,22.31,-10.26287766,0.00073,3.8886237144470215,0.05660002678632736,7.554275035858154,0.0021611505653709173,32225
4614,7,35425,1620,22.24,-9.88087325,0.00073,3.726177453994751,0.06301047652959824,4.627540588378906,0.002065766602754593,32424
4650,7,35687,1630,21.96,-9.89559169,0.00073,4.128236293792725,0.06151857227087021,15.261079788208008,0.001970894867554307,32686
4683,7,35929,1640,21.97,-10.00793077,0.00073,3.832805871963501,0.06346427649259567,-6.23419713973999,0.0020509480964392424,32928
4719,7,36203,1650,22.56,-10.10409639,0.00073,4.125848293304443,0.0623534731566906,13.56685733795166,0.00189907755702734,33202
4745,7,36399,1660,22.01,-9.61873439,0.00073,3.9268839359283447,0.04792198911309242,-0.6566269993782043,0.0018910641083493829,33398
4774,7,36613,1670,22.05,-9.60932803,0.00073,4.117866039276123,0.04944809526205063,-7.109971523284912,0.0018545902566984296,33612
4799,7,36801,1680,22.09,-9.445256499999998,0.00073,4.129177093505859,0.0561203695833683,-1.7439723014831543,0.0018202799838036299,33800
4834,7,37050,1690,22.23,-9.57507928,0.00073,3.95439076423645,0.05666093900799751,2.434607744216919,0.0018454414093866944,34049
4862,7,37259,1700,22.15,-9.7828532,0.00073,4.0968194007873535,0.056332677602767944,-5.320620536804199,0.0017795204184949398,34258
4893,7,37488,1710,22.62,-9.82184469,0.00073,4.199707984924316,0.059294022619724274,7.265213489532471,0.0017380783101543784,34487
4931,7,37772,1720,23.47,-10.205580379999999,0.00073,4.084807395935059,0.04859541729092598,9.468565940856934,0.0018024691380560398,34771
4966,7,38025,1730,23.38,-10.031190169999999,0.00073,4.125810623168945,0.06007124111056328,11.543659210205078,0.0017582542495802045,35024
4997,7,38257,1740,23.28,-9.968231229999999,0.00073,4.3073930740356445,0.05245739966630936,18.847389221191406,0.001785145839676261,35256
5024,7,38455,1750,22.52,-9.659057509999998,0.00073,4.177330493927002,0.05411483347415924,1.3569412231445312,0.001774582895450294,35454
5050,7,38636,1760,22.37,-9.673686420000001,0.00073,4.209171295166016,0.04672572389245033,-10.334132194519043,0.0017287225928157568,35635
5079,7,38845,1770,22.32,-9.44022994,0.00073,4.125904560089111,0.05680006742477417,7.174920558929443,0.0016886735102161765,35844
5117,7,39107,1780,23.06,-9.52497119,0.00073,4.099579811096191,0.049586616456508636,0.9580366611480713,0.001668467535637319,36106
5157,7,39382,1790,23.32,-9.45666773,0.00073,4.1569623947143555,0.039401911199092865,-2.77738618850708,0.0016723808366805315,36381
5194,7,39646,1800,23.87,-9.39536242,0.00073,4.237431049346924,0.04749787971377373,-3.2457778453826904,0.001642174320295453,36645
5227,7,39877,1810,23.89,-9.252300980000001,0.00073,4.314834117889404,0.05010530352592468,-12.514093399047852,0.0015514674596488476,36876
5257,7,40085,1820,23.13,-9.05370573,0.00073,4.13004732131958,0.044702500104904175,-6.839926719665527,0.001536912634037435,37084
5283,7,40274,1830,22.49,-9.03665225,0.00073,4.322075843811035,0.045912519097328186,-5.123460292816162,0.0015157056041061878,37273
5311,7,40480,1840,22.23,-8.95968357,0.00073,4.238529205322266,0.035556480288505554,-1.3139467239379883,0.0015151650877669454,37479
