time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
6,1240,200.0,36671,244394,1469.91902948,-427.39422607421875,0.00073,0.04539277032017708,241393,2.083462953567505,55.87173843383789
6,1250,200.0,37006,246394,1487.2382790100005,-445.02655029296875,0.00073,0.04255495220422745,243393,-0.13845300674438477,48.20488739013672
6,1260,200.0,37340,248394,1443.40420283,-412.43463134765625,0.00073,0.04289213940501213,245393,-4.472070217132568,49.28765869140625
6,1270,200.0,37662,250394,1437.56447169,-443.8112487792969,0.00073,0.0447566956281662,247393,-6.797844886779785,48.649234771728516
6,1280,200.0,37992,252394,1492.7070810300002,-419.68316650390625,0.00073,0.04089351370930672,249393,-3.260000228881836,39.823543548583984
6,1290,200.0,38294,254394,1466.32785569,-431.96160888671875,0.00073,0.04210987314581871,251393,5.353321075439453,49.09709930419922
6,1300,200.0,38606,256394,1440.9386011400002,-438.5173645019531,0.00073,0.04261394962668419,253393,0.4874364137649536,52.1934814453125
6,1310,200.0,38905,258394,1347.59452319,-448.7546691894531,0.00073,0.04343309998512268,255393,-0.22111332416534424,63.04545211791992
6,1320,200.0,39207,260394,1336.94592888,-435.12432861328125,0.00073,0.043010078370571136,257393,-1.3675868511199951,51.43266677856445
6,1330,200.0,39502,262394,1297.3623655999997,-415.25555419921875,0.00073,0.04231922701001167,259393,-2.1937294006347656,44.83688735961914
6,1340,200.0,39802,264394,1310.23539507,-428.7597351074219,0.00073,0.04227379709482193,261393,-5.411981582641602,45.55445861816406
6,1350,200.0,40142,266394,1386.7481591100004,-413.1922607421875,0.00073,0.0417751781642437,263393,2.1738271713256836,50.75422668457031
6,1360,200.0,40479,268394,1443.4738540600001,-428.144287109375,0.00073,0.04118860885500908,265393,-4.841688632965088,46.88508605957031
6,1370,200.0,40904,270394,1453.51230155,-416.7625732421875,0.00073,0.04171380028128624,267393,10.07339859008789,51.284488677978516
6,1380,200.0,41221,272394,1443.6424077300003,-426.6796569824219,0.00073,0.040583230555057526,269393,2.304335117340088,49.837318420410156
6,1390,200.0,41544,274394,1477.3794375299997,-451.0199890136719,0.00073,0.039706263691186905,271393,11.589168548583984,67.50555419921875
6,1400,200.0,41860,276394,1464.96328984,-465.842529296875,0.00073,0.04110685735940933,273393,-2.918116569519043,53.68470764160156
6,1410,200.0,42190,278394,1574.89694827,-443.3326721191406,0.00073,0.039451275020837784,275393,8.17990493774414,50.94092559814453
6,1420,200.0,42527,280394,1619.9340391700002,-442.3343505859375,0.00073,0.04108666628599167,277393,-5.200839996337891,50.816612243652344
6,1430,200.0,42865,282394,1643.44240136,-433.6513366699219,0.00073,0.041534680873155594,279393,-6.5298895835876465,46.83454895019531
