time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss
7,549000,77487,286.96767360999996,100.0,5490,0.028551045805215836,545999,0.00073,1.3389948606491089,2.4708709716796875,-285.131591796875
7,550000,77631,287.03284582000003,100.0,5500,0.029397960752248764,546999,0.00073,1.8463146686553955,4.572482109069824,-283.55926513671875
7,551000,77773,290.13199192,100.0,5510,0.028649529442191124,547999,0.00073,2.182608127593994,1.0563981533050537,-281.8625183105469
7,552000,77915,306.10914111,100.0,5520,0.02895970642566681,548999,0.00073,1.7898584604263306,-1.5429514646530151,-280.8445739746094
7,553000,78058,401.4690439,100.0,5530,0.029390420764684677,549999,0.00073,1.928393840789795,0.9386482238769531,-281.18206787109375
7,554000,78203,453.14623964,100.0,5540,0.03690910339355469,550999,0.00073,4.098167419433594,0.8313364386558533,-292.3012390136719
7,555000,78349,448.24484469999993,100.0,5550,0.03591364622116089,551999,0.00073,4.342065334320068,-6.6677727699279785,-293.01220703125
7,556000,78494,435.7270501100001,100.0,5560,0.058621782809495926,552999,0.00073,3.921496868133545,-1.7306326627731323,-327.159912109375
7,557000,78639,352.46801111,100.0,5570,0.024264933541417122,553999,0.00073,1.894481897354126,3.667377233505249,-309.2620849609375
7,558000,78786,345.35511066000004,100.0,5580,0.028895750641822815,554999,0.00073,2.098206043243408,-0.7086304426193237,-300.40118408203125
7,559000,78933,345.31996617,100.0,5590,0.02796587347984314,555999,0.00073,1.4660868644714355,-2.7616686820983887,-298.6750183105469
7,560000,79079,345.21249614,100.0,5600,0.03041703999042511,556999,0.00073,2.0514214038848877,-8.903783798217773,-293.1439514160156
7,561000,79224,345.7980716599999,100.0,5610,0.02897864393889904,557999,0.00073,1.397120714187622,-5.836147308349609,-290.58697509765625
7,562000,79368,346.55172366,100.0,5620,0.03008449636399746,558999,0.00073,1.663525104522705,1.9556903839111328,-285.9420471191406
7,563000,79513,346.82847420999997,100.0,5630,0.028885826468467712,559999,0.00073,1.517777442932129,4.399160861968994,-292.7788391113281
7,564000,79661,388.40247034999993,100.0,5640,0.02950896881520748,560999,0.00073,1.2389695644378662,3.3716259002685547,-287.35748291015625
7,565000,79808,483.44399718,100.0,5650,0.02908584289252758,561999,0.00073,1.161033272743225,-3.27449893951416,-289.47906494140625
7,566000,79958,573.5236925999999,100.0,5660,0.029105452820658684,562999,0.00073,1.1476702690124512,4.7306599617004395,-285.4774169921875
7,567000,80104,659.79443675,100.0,5670,0.028035497292876244,563999,0.00073,1.4516175985336304,-3.378770112991333,-290.5541687011719
7,568000,80251,668.3056342599999,100.0,5680,0.02853282168507576,564999,0.00073,1.618708610534668,4.48478889465332,-284.94647216796875
7,569000,80398,669.19932986,100.0,5690,0.0279825609177351,565999,0.00073,1.0809144973754883,-6.716401100158691,-293.7535400390625
7,570000,80547,670.0765807299999,100.0,5700,0.0265459306538105,566999,0.00073,1.605069637298584,-2.1473755836486816,-292.73388671875
7,571000,80695,670.51890097,100.0,5710,0.02739623561501503,567999,0.00073,1.112968921661377,-7.231621265411377,-292.77020263671875
7,572000,80842,670.76252252,100.0,5720,0.02721448801457882,568999,0.00073,1.5509002208709717,0.8189179301261902,-292.81121826171875
7,573000,80989,670.92235365,100.0,5730,0.02686361037194729,569999,0.00073,1.0056995153427124,-0.060367077589035034,-294.7142028808594
7,574000,81135,671.23110163,100.0,5740,0.02629789710044861,570999,0.00073,1.116146206855774,-3.666166305541992,-289.6433410644531
7,575000,81283,671.32858756,100.0,5750,0.026112301275134087,571999,0.00073,1.1497293710708618,0.6346912980079651,-291.864013671875
7,576000,81430,671.68997943,100.0,5760,0.027204295620322227,572999,0.00073,1.1401633024215698,-2.028379440307617,-293.1241149902344
7,577000,81579,671.8250349600002,100.0,5770,0.026783043518662453,573999,0.00073,1.102370262145996,3.5779337882995605,-288.3629150390625
7,578000,81726,672.0082262699999,100.0,5780,0.025955582037568092,574999,0.00073,1.2176530361175537,2.4353280067443848,-299.118408203125
7,579000,81872,672.1027696399999,100.0,5790,0.027112524956464767,575999,0.00073,1.338620901107788,3.416076421737671,-293.6951599121094
7,580000,82020,672.3494512000001,100.0,5800,0.026207415387034416,576999,0.00073,1.057607650756836,-2.182652235031128,-297.0729675292969
7,581000,82168,672.57354622,100.0,5810,0.026800207793712616,577999,0.00073,0.9033053517341614,-1.9227042198181152,-297.41156005859375
7,582000,82317,672.8749900199999,100.0,5820,0.026760345324873924,578999,0.00073,0.9708638787269592,-1.7143750190734863,-295.4332580566406
