time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
10938,-183.4822002,48.87,7,84047,1840,81046,-1.9947717189788818,5.031932830810547,0.00073,94.06317138671875,0.017260728403925896
11009,-186.59149695,49.04,7,84547,1850,81546,-2.1349432468414307,5.043822288513184,0.00073,97.10791778564453,0.017385002225637436
11077,-182.71800131,49.23,7,85047,1860,82046,6.162586212158203,5.409116744995117,0.00073,99.95269775390625,0.01724924147129059
11147,-180.49312271,49.29,7,85547,1870,82546,6.534385681152344,5.5573835372924805,0.00073,96.45930480957031,0.018041236326098442
11215,-182.33122512000003,49.37,7,86047,1880,83046,3.0023138523101807,5.665896415710449,0.00073,99.73641967773438,0.01841810718178749
11280,-179.08546847999997,49.44,7,86532,1890,83531,7.671412467956543,4.906764984130859,0.00073,94.98491668701172,0.017784304916858673
11341,-182.85980378,49.11,7,86977,1900,83976,-4.433132171630859,5.043307304382324,0.00073,99.22737121582031,0.01805509254336357
11410,-183.57457034999996,49.11,7,87477,1910,84476,-4.946983337402344,4.7803544998168945,0.00073,94.0463638305664,0.017305519431829453
11478,-187.46367739,49.07,7,87973,1920,84972,-0.7958788871765137,4.544074058532715,0.00073,94.06748962402344,0.01766500063240528
11545,-188.31345842999997,49.11,7,88463,1930,85462,6.449738502502441,4.980667591094971,0.00073,96.76728057861328,0.01785372383892536
11611,-188.62075609,49.09,7,88956,1940,85955,-5.050604820251465,6.105267524719238,0.00073,96.2242431640625,0.018163073807954788
11680,-183.22994435999996,49.09,7,89456,1950,86455,0.5731064081192017,6.170332908630371,0.00073,89.69915008544922,0.018775569275021553
11749,-185.88022457,49.09,7,89956,1960,86955,-0.14223629236221313,4.857549667358398,0.00073,94.38047790527344,0.019284844398498535
11818,-190.69573407000004,49.08,7,90455,1970,87454,-2.344961643218994,5.5757036209106445,0.00073,93.29591369628906,0.01941080205142498
11885,-185.04629517,49.0,7,90947,1980,87946,-8.683799743652344,6.5004682540893555,0.00073,87.87136840820312,0.020388197153806686
11952,-180.39912426000004,49.15,7,91447,1990,88446,13.179637908935547,5.5389299392700195,0.00073,87.9965591430664,0.019507111981511116
12018,-178.31400225,49.57,7,91934,2000,88933,-0.2851635217666626,5.821510314941406,0.00073,88.90425872802734,0.020424963906407356
12086,-178.87841210000002,49.55,7,92432,2010,89431,-3.5785274505615234,5.502523899078369,0.00073,98.05532836914062,0.020280921831727028
12154,-180.00564445,49.58,7,92931,2020,89930,3.8908276557922363,6.858578681945801,0.00073,89.9967269897461,0.020035721361637115
12221,-178.44889905999997,49.65,7,93428,2030,90427,3.30273699760437,5.797185897827148,0.00073,89.21698760986328,0.019984764978289604
12289,-179.34069498999997,49.69,7,93925,2040,90924,2.6809887886047363,5.820752143859863,0.00073,91.76806640625,0.019999651238322258
12354,-185.05060342000002,49.44,7,94400,2050,91399,-0.241560697555542,6.424995422363281,0.00073,88.53538513183594,0.021177228540182114
12422,-184.41812652999997,49.44,7,94900,2060,91899,-9.937865257263184,7.0355072021484375,0.00073,92.1059799194336,0.020799748599529266
12490,-176.21662608999998,49.45,7,95400,2070,92399,-9.202271461486816,5.986462116241455,0.00073,87.93179321289062,0.019713887944817543
12558,-173.83435036,49.53,7,95900,2080,92899,2.3270411491394043,6.939024448394775,0.00073,93.52487182617188,0.019775155931711197
12624,-174.88592314000002,49.33,7,96380,2090,93379,-2.7243943214416504,6.4701948165893555,0.00073,85.98204040527344,0.019399093464016914
12691,-175.30335999,49.43,7,96877,2100,93876,3.5760624408721924,6.14240026473999,0.00073,86.75139617919922,0.020584216341376305
12757,-178.4293825,49.31,7,97363,2110,94362,2.562260150909424,6.451625823974609,0.00073,80.23031616210938,0.020328925922513008
12825,-174.64606357,49.32,7,97863,2120,94862,1.509708046913147,7.114933967590332,0.00073,82.52808380126953,0.02055147849023342
12893,-170.90746409,49.35,7,98363,2130,95362,8.938135147094727,9.630496978759766,0.00073,86.73323822021484,0.02002691477537155
