time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
1040,39974,7,0.6427684200000001,5073,42.44,0.006225965917110443,0.00073,-6.468966007232666,-6.899232387542725,0.14708173274993896,36973
1050,40446,7,0.7081623100000001,5138,42.77,0.006378687918186188,0.00073,-6.815728187561035,-10.836539268493652,0.1957245022058487,37445
1060,40869,7,0.43624482,5195,42.0,0.0064591760747134686,0.00073,-8.005449295043945,2.7438249588012695,0.2257727086544037,37868
1070,41299,7,0.27192762000000004,5254,41.72,0.006823095493018627,0.00073,-8.632574081420898,17.245115280151367,1.8055968284606934,38298
1080,41748,7,0.028841779999999994,5315,42.92,0.007803117856383324,0.00073,-11.560249328613281,10.029865264892578,0.3223676383495331,38747
1090,42035,7,-0.74859319,5354,41.74,0.008359396830201149,0.00073,-11.54466724395752,7.202752113342285,0.317427396774292,39034
1100,42430,7,-1.9066689800000003,5407,40.85,0.008956780657172203,0.00073,-11.830126762390137,-2.5486788749694824,0.8725230693817139,39429
1110,42860,7,-3.6576908,5466,40.15,0.009929661639034748,0.00073,-14.84926986694336,-7.739529132843018,0.5185369253158569,39859
1120,43341,7,-5.13273555,5530,40.07,0.009365580976009369,0.00073,-17.467147827148438,4.960313320159912,0.6621448993682861,40340
1130,43841,7,-5.56466723,5599,41.16,0.010074288584291935,0.00073,-18.035472869873047,-0.5615440607070923,0.521221399307251,40840
1140,44310,7,-6.0560123400000005,5662,43.36,0.010893292725086212,0.00073,-18.91368865966797,16.58509635925293,1.0964951515197754,41309
1150,44810,7,-6.795031670000001,5731,43.64,0.010716775432229042,0.00073,-19.810787200927734,-7.175206661224365,0.4962294101715088,41809
1160,45308,7,-6.68385756,5799,44.39,0.010783347301185131,0.00073,-20.862077713012695,0.717479944229126,0.6630136966705322,42307
1170,45650,7,-6.3214247199999996,5846,43.51,0.01194395124912262,0.00073,-22.7918701171875,-1.2048293352127075,0.9409171938896179,42649
