rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
200.0,46418,7,331398,1272.1402570799999,1680,0.00073,-388.9295959472656,328397,-1.9952373504638672,69.75718688964844,0.036462169140577316
200.0,46702,7,333398,1327.3563854899999,1690,0.00073,-442.3408508300781,330397,-1.690276861190796,61.26517105102539,0.03587197884917259
200.0,46985,7,335398,1314.54386585,1700,0.00073,-414.171630859375,332397,-10.383337020874023,46.78727722167969,0.03456754609942436
200.0,47272,7,337398,1297.25935332,1710,0.00073,-415.6209411621094,334397,-7.008201599121094,55.110076904296875,0.035522785037755966
200.0,47557,7,339398,1303.0077641100002,1720,0.00073,-430.577392578125,336397,2.2132835388183594,60.0048713684082,0.033037204295396805
200.0,47850,7,341398,1309.57788265,1730,0.00073,-430.2716064453125,338397,-4.469542503356934,51.23313903808594,0.03447066247463226
200.0,48139,7,343398,1380.42395984,1740,0.00073,-419.9835205078125,340397,-6.227143287658691,46.727867126464844,0.03379540517926216
200.0,48435,7,345398,1428.2198827300003,1750,0.00073,-446.3258361816406,342397,-7.592862606048584,47.2423095703125,0.03343474864959717
200.0,48726,7,347398,1407.69433157,1760,0.00073,-435.1020202636719,344397,-13.483918190002441,47.45681381225586,0.03267262503504753
200.0,49022,7,349398,1398.9076912799999,1770,0.00073,-451.5677490234375,346397,1.8320441246032715,51.852500915527344,0.03285926952958107
200.0,49313,7,351398,1394.8460047100002,1780,0.00073,-422.2219543457031,348397,-1.4378201961517334,41.64900207519531,0.03277411311864853
200.0,49606,7,353398,1321.53124589,1790,0.00073,-421.1832580566406,350397,8.55379867553711,51.14787673950195,0.03210575506091118
200.0,49894,7,355398,1365.6548253499998,1800,0.00073,-486.06292724609375,352397,-15.791299819946289,36.970787048339844,0.03123733587563038
200.0,50181,7,357398,1350.3963818700001,1810,0.00073,-446.0414123535156,354397,-6.568306922912598,45.02649688720703,0.0329950675368309
