rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss
-209.33107091999997,182000,6,1820,100.0,28562,0.0036953329108655453,178999,93.844970703125,0.00073,0.39705413579940796,-5.660501480102539
-210.14115075,183000,6,1830,100.0,28710,0.0037394575774669647,179999,93.79893493652344,0.00073,0.38671860098838806,3.501800060272217
-209.36894958000002,184000,6,1840,100.0,28887,0.0037995954044163227,180999,93.63014221191406,0.00073,0.29182225465774536,0.28600209951400757
-209.00809626999998,185000,6,1850,100.0,29084,0.0037718373350799084,181999,94.7537841796875,0.00073,0.31143417954444885,16.28486442565918
-209.07558414,186000,6,1860,100.0,29258,0.003727792762219906,182999,93.07211303710938,0.00073,0.31330907344818115,-0.05334508419036865
-209.85872627999998,187000,6,1870,100.0,29441,0.003770190291106701,183999,92.23399353027344,0.00073,0.3292157053947449,-9.355030059814453
-209.84655292999997,188000,6,1880,100.0,29616,0.003674728563055396,184999,92.79307556152344,0.00073,0.3334134817123413,-0.8027275800704956
-211.00228587,189000,6,1890,100.0,29792,0.003777723293751478,185999,91.85385131835938,0.00073,0.3375205397605896,-11.96200942993164
-210.25667536999998,190000,6,1900,100.0,29976,0.0036151204258203506,186999,94.15079498291016,0.00073,0.29896360635757446,12.646662712097168
-209.82850767999997,191000,6,1910,100.0,30161,0.00360283674672246,187999,91.83145141601562,0.00073,0.36664193868637085,-5.766792297363281
-209.2466645599999,192000,6,1920,100.0,30339,0.0037232432514429092,188999,93.51375579833984,0.00073,0.3599682152271271,-7.9456706047058105
-208.65971031,193000,6,1930,100.0,30504,0.0038170574698597193,189999,92.8711929321289,0.00073,0.35252928733825684,4.325892448425293
-209.29844184000004,194000,6,1940,100.0,30669,0.003630843013525009,190999,93.41368103027344,0.00073,0.4129234552383423,-15.725228309631348
-210.71343962999998,195000,6,1950,100.0,30846,0.0037316165398806334,191999,93.60169982910156,0.00073,0.3507239520549774,6.426281452178955
-210.29345543,196000,6,1960,100.0,31027,0.003643421921879053,192999,91.13892364501953,0.00073,0.30976641178131104,-0.6089482307434082
-208.97917424,197000,6,1970,100.0,31200,0.0036860776599496603,193999,92.39514923095703,0.00073,0.27067291736602783,1.910332202911377
-208.42559411,198000,6,1980,100.0,31379,0.003643243107944727,194999,91.39376068115234,0.00073,0.36901915073394775,14.045764923095703
-207.22097791000007,199000,6,1990,100.0,31558,0.0035779352765530348,195999,92.9889907836914,0.00073,0.35367846488952637,9.914313316345215
-206.72608473999998,200000,6,2000,100.0,31740,0.003877052804455161,196999,93.32791900634766,0.00073,0.3679172992706299,-18.28870964050293
-207.13017563000002,201000,6,2010,100.0,31924,0.0036991762463003397,197999,93.80699157714844,0.00073,0.406884104013443,13.380590438842773
-205.40762581999996,202000,6,2020,100.0,32114,0.0037823934108018875,198999,89.33718872070312,0.00073,0.3340613543987274,2.1068811416625977
-206.01949913,203000,6,2030,100.0,32287,0.0037226041313260794,199999,91.22744750976562,0.00073,0.2985113859176636,-0.9175509214401245
-206.32471259000002,204000,6,2040,100.0,32461,0.0036640604957938194,200999,90.71288299560547,0.00073,0.3905797600746155,-16.104780197143555
-205.60489636999998,205000,6,2050,100.0,32619,0.003704129019752145,201999,90.13713836669922,0.00073,0.34939706325531006,-4.868200302124023
-206.17723329999998,206000,6,2060,100.0,32780,0.003661479102447629,202999,90.17403411865234,0.00073,0.4053196907043457,-9.905975341796875
