time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
82824,7,62.62,11712,1550,-107.41353361000002,-110.75098419189453,86.32189178466797,79823,0.07478740811347961,4.793712139129639,0.00073
83428,7,62.46,11802,1560,-94.90537762,-98.5242919921875,72.91729736328125,80427,0.07388590276241302,0.02937278151512146,0.00073
84154,7,63.43,11909,1570,-90.00659384000002,-136.33831787109375,98.9162826538086,81153,0.074400894343853,7.5779218673706055,0.00073
84828,7,63.61,12010,1580,-80.43796445999999,-112.17245483398438,113.10153198242188,81827,0.07464718818664551,3.878110408782959,0.00073
85558,7,64.7,12125,1590,-80.81528133999998,-128.66542053222656,95.93089294433594,82557,0.07193366438150406,-3.0689620971679688,0.00073
86217,7,65.22,12224,1600,-86.99374145,-90.15190124511719,97.8838119506836,83216,0.07509703189134598,3.0430727005004883,0.00073
86902,7,65.43,12323,1610,-93.04793346000001,-120.51993560791016,87.85682678222656,83901,0.07589200139045715,-3.8689169883728027,0.00073
87581,7,66.5,12421,1620,-78.41741777000001,-116.0067138671875,96.20054626464844,84580,0.07475640624761581,-0.36448952555656433,0.00073
88212,7,65.99,12512,1630,-62.503729050000004,-101.01644134521484,92.33255767822266,85211,0.07412588596343994,-5.157933712005615,0.00073
88869,7,66.25,12607,1640,-61.06846992999999,-127.02397155761719,99.96931457519531,85868,0.07768361270427704,-0.7920842170715332,0.00073
89564,7,67.4,12709,1650,-72.92346277000001,-116.48667907714844,83.07563781738281,86563,0.07446339726448059,0.09135842323303223,0.00073
90253,7,68.25,12812,1660,-72.59405720000001,-119.66791534423828,106.70941162109375,87252,0.07478494197130203,-0.8250160813331604,0.00073
90931,7,67.77,12913,1670,-70.79235170000001,-142.11917114257812,103.2464828491211,87930,0.07699616253376007,4.242569923400879,0.00073
91595,7,67.67,13008,1680,-83.69435949999999,-142.062255859375,103.21087646484375,88594,0.07432416081428528,4.396908283233643,0.00073
92221,7,66.63,13098,1690,-77.61848105999998,-114.94684600830078,75.3987045288086,89220,0.07309576123952866,-5.5006513595581055,0.00073
92822,7,66.05,13185,1700,-65.26836447999999,-115.12088012695312,105.69830322265625,89821,0.0717015340924263,-2.9560441970825195,0.00073
93403,7,65.01,13269,1710,-63.24142790999999,-101.5634765625,86.27114868164062,90402,0.07171808183193207,-5.9155073165893555,0.00073
94081,7,65.0,13366,1720,-74.05435552,-116.00437927246094,86.77311706542969,91080,0.06947549432516098,-2.4024391174316406,0.00073
94777,7,65.65,13468,1730,-88.92544996000001,-118.89601135253906,93.57603454589844,91776,0.06892551481723785,1.9408223628997803,0.00073
95352,7,64.83,13551,1740,-94.06977884999998,-90.8757553100586,82.95428466796875,92351,0.06641405075788498,-3.940107822418213,0.00073
95909,7,63.45,13633,1750,-91.51398613,-112.91072082519531,85.42459869384766,92908,0.06826101243495941,-6.276310443878174,0.00073
96637,7,63.84,13740,1760,-91.43535726000002,-97.30338287353516,78.11688232421875,93636,0.07043635845184326,4.205826759338379,0.00073
97344,7,64.13,13857,1770,-93.31550391,-113.12467193603516,78.38416290283203,94343,0.06488070636987686,2.997851848602295,0.00073
97921,7,63.26,13955,1780,-85.27073872,-89.73145294189453,75.26953887939453,94920,0.06429073959589005,2.200481653213501,0.00073
98575,7,63.54,14050,1790,-95.44324125000001,-98.6080322265625,66.17573547363281,95574,0.0650506243109703,-0.9658849239349365,0.00073
99172,7,63.5,14137,1800,-102.47407690000001,-105.03593444824219,84.53214263916016,96171,0.06349175423383713,1.8985095024108887,0.00073
99864,7,64.61,14237,1810,-104.11704848,-106.39529418945312,68.56466674804688,96863,0.06602850556373596,5.751256942749023,0.00073
100569,7,64.88,14343,1820,-92.66041297999999,-99.45759582519531,84.0532455444336,97568,0.06394362449645996,0.17817983031272888,0.00073
101281,7,65.04,14443,1830,-84.77007882000002,-122.83626556396484,86.0815200805664,98280,0.06292266398668289,5.491639614105225,0.00073
101983,7,66.31,14544,1840,-75.21891541000001,-105.66404724121094,68.41702270507812,98982,0.06313691288232803,-6.429116725921631,0.00073
102575,7,66.66,14628,1850,-75.05378884999999,-91.66336822509766,81.1693344116211,99574,0.06216384097933769,2.863257646560669,0.00073
103199,7,65.62,14718,1860,-69.70815126000001,-87.35984802246094,76.14144897460938,100198,0.0621359720826149,7.290561676025391,0.00073
103831,7,64.87,14812,1870,-75.16807907000002,-100.36048126220703,75.27328491210938,100830,0.06293271481990814,-0.8539837598800659,0.00073
104406,7,64.85,14897,1880,-74.95474214999999,-120.90889739990234,66.18408966064453,101405,0.06198114529252052,-0.22899246215820312,0.00073
105074,7,64.99,14995,1890,-80.38039657999998,-112.01597595214844,81.63592529296875,102073,0.06195360794663429,3.8414180278778076,0.00073
105747,7,65.75,15093,1900,-85.10521678,-105.6312484741211,75.67353820800781,102746,0.06313946843147278,5.995326519012451,0.00073
106462,7,65.98,15200,1910,-81.60373734999999,-99.73112487792969,82.32829284667969,103461,0.06310061365365982,0.7763381004333496,0.00073
