time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss
452471,65370,482.82793024,4530,6,100.0,0.065305195748806,449470,6.524114608764648,0.5486772656440735,0.00073,-221.79978942871094
453471,65520,483.2753010999999,4540,6,100.0,0.06486621499061584,450470,10.202709197998047,-0.03541967272758484,0.00073,-222.17311096191406
454471,65671,486.36054762,4550,6,100.0,0.06257371604442596,451470,8.406229972839355,-1.4265309572219849,0.00073,-221.46966552734375
455471,65821,520.91789248,4560,6,100.0,0.0644497349858284,452470,9.610237121582031,0.15946605801582336,0.00073,-226.7181854248047
456471,65972,529.02602862,4570,6,100.0,0.06512165069580078,453470,7.537038326263428,-0.6644295454025269,0.00073,-242.49307250976562
457471,66122,523.45254583,4580,6,100.0,0.0632549300789833,454470,8.114958763122559,0.7411606311798096,0.00073,-244.3599090576172
458471,66275,532.3856661000001,4590,6,100.0,0.06321150809526443,455470,8.241133689880371,0.954959511756897,0.00073,-237.2332763671875
459471,66424,516.52612129,4600,6,100.0,0.06178450584411621,456470,10.890071868896484,0.3125043511390686,0.00073,-220.2838134765625
460471,66575,509.99002944999995,4610,6,100.0,0.0648752972483635,457470,10.016410827636719,0.3874097168445587,0.00073,-219.5538330078125
461471,66728,490.45880894999993,4620,6,100.0,0.06401903927326202,458470,9.496833801269531,0.9844439625740051,0.00073,-215.17831420898438
462471,66879,466.8168368499999,4630,6,100.0,0.0649871751666069,459470,10.754919052124023,1.0936343669891357,0.00073,-225.56185913085938
463471,67028,489.0642864800001,4640,6,100.0,0.06416498869657516,460470,11.9264554977417,-0.36651378870010376,0.00073,-233.759033203125
464471,67179,498.89346074,4650,6,100.0,0.06614405661821365,461470,13.581168174743652,0.3054172694683075,0.00073,-235.864013671875
465471,67328,490.19452737,4660,6,100.0,0.06721168011426926,462470,9.347774505615234,0.860349714756012,0.00073,-233.854736328125
466471,67481,491.0396660300001,4670,6,100.0,0.0658903643488884,463470,7.455475807189941,-0.5284544229507446,0.00073,-224.85418701171875
