rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
43.77,10188,1860,76192,7,-305.08280727999994,-2.043036460876465,5.69472599029541,0.0169998686760664,0.00073,73191,118.07442474365234
43.38,10251,1870,76630,7,-310.08066958999996,6.439072608947754,5.802395820617676,0.016855457797646523,0.00073,73629,124.9610595703125
42.95,10309,1880,77037,7,-306.76968318,7.150136947631836,5.880678176879883,0.017111677676439285,0.00073,74036,125.30782318115234
43.0,10374,1890,77498,7,-303.76680276999997,9.232258796691895,5.724462032318115,0.017047038301825523,0.00073,74497,127.19385528564453
42.98,10430,1900,77891,7,-298.95417283000006,-7.1547698974609375,6.475924968719482,0.01696115732192993,0.00073,74890,126.12674713134766
43.1,10498,1910,78355,7,-292.47051056,5.081009864807129,6.256509780883789,0.01695409044623375,0.00073,75354,124.70625305175781
42.52,10550,1920,78725,7,-294.01614386,3.2322022914886475,5.901020526885986,0.01740368828177452,0.00073,75724,130.7373046875
42.35,10607,1930,79132,7,-302.62388140999997,2.373292922973633,6.674171447753906,0.01735834591090679,0.00073,76131,124.73075866699219
42.03,10668,1940,79571,7,-304.89905552,4.149885177612305,7.013848781585693,0.01721877045929432,0.00073,76570,122.91338348388672
42.57,10732,1950,80017,7,-304.01764592,8.264200210571289,5.893759727478027,0.016963882371783257,0.00073,77016,125.27879333496094
42.81,10796,1960,80473,7,-305.63637610999996,1.4401426315307617,7.327735900878906,0.017018385231494904,0.00073,77472,124.95046997070312
42.26,10850,1970,80856,7,-307.82139699000004,0.6793882846832275,6.468085289001465,0.016220366582274437,0.00073,77855,122.74089813232422
42.14,10906,1980,81251,7,-310.52234744000003,-6.337092876434326,4.865703582763672,0.016820531338453293,0.00073,78250,125.1613540649414
42.1,10969,1990,81708,7,-312.23414563,-2.088494300842285,5.643470287322998,0.016700588166713715,0.00073,78707,127.23689270019531
42.4,11030,2000,82131,7,-315.64521843999995,4.667463302612305,5.771170616149902,0.01661645993590355,0.00073,79130,127.08879089355469
41.96,11090,2010,82551,7,-322.42858758,0.7382043600082397,6.0650553703308105,0.016797102987766266,0.00073,79550,126.92242431640625
