time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
136000,100.0,737.97334584,1360,19083,7,5.324588298797607,-352.56396484375,0.00073,-0.20061102509498596,0.09557938575744629,132999
137000,100.0,737.2585838799998,1370,19229,7,4.866815090179443,-354.1044921875,0.00073,0.282461553812027,0.09366536885499954,133999
138000,100.0,733.0951883500001,1380,19373,7,5.397290229797363,-348.2962341308594,0.00073,-0.46320641040802,0.0959840640425682,134999
139000,100.0,731.99361429,1390,19519,7,4.168132305145264,-356.7001953125,0.00073,-0.7628500461578369,0.0923646092414856,135999
140000,100.0,733.43897872,1400,19664,7,4.515832901000977,-354.3929138183594,0.00073,-0.1215648502111435,0.09166257828474045,136999
141000,100.0,733.4094743700001,1410,19808,7,3.6373534202575684,-355.83526611328125,0.00073,0.3073135316371918,0.0910436287522316,137999
142000,100.0,732.7270819699999,1420,19952,7,4.902482986450195,-353.3841857910156,0.00073,0.5147462487220764,0.09205157309770584,138999
143000,100.0,732.01302291,1430,20097,7,4.3522443771362305,-355.0460205078125,0.00073,-0.21231788396835327,0.09105212241411209,139999
144000,100.0,732.8033962999997,1440,20242,7,4.893754482269287,-355.1336669921875,0.00073,-0.8596588969230652,0.09176193922758102,140999
145000,100.0,733.4083925599999,1450,20387,7,5.295540809631348,-352.4435119628906,0.00073,0.4760810434818268,0.09123913198709488,141999
146000,100.0,735.50678532,1460,20532,7,5.0489091873168945,-355.26593017578125,0.00073,-0.06260305643081665,0.09073539823293686,142999
147000,100.0,734.3976497100001,1470,20677,7,5.919011116027832,-353.74493408203125,0.00073,0.06881677359342575,0.08751554787158966,143999
148000,100.0,737.5304096,1480,20822,7,5.468721389770508,-352.5574035644531,0.00073,0.7913497686386108,0.08890047669410706,144999
149000,100.0,739.4229133699998,1490,20968,7,4.294657230377197,-356.0369873046875,0.00073,0.20435556769371033,0.0867750346660614,145999
150000,100.0,737.9065718999998,1500,21113,7,3.5837578773498535,-350.6764831542969,0.00073,0.9923120737075806,0.08670558780431747,146999
151000,100.0,737.31989581,1510,21257,7,5.533475875854492,-353.4725646972656,0.00073,-0.17193561792373657,0.08722136169672012,147999
152000,100.0,742.2774096300001,1520,21404,7,5.200589656829834,-357.3643798828125,0.00073,-0.33147111535072327,0.08804222196340561,148999
153000,100.0,741.48652045,1530,21549,7,5.16568660736084,-357.759765625,0.00073,0.3508862853050232,0.08689501136541367,149999
154000,100.0,746.37935423,1540,21694,7,3.806867837905884,-354.53314208984375,0.00073,0.6379048228263855,0.0863831490278244,150999
155000,100.0,745.7347843599999,1550,21840,7,3.333498239517212,-357.1882019042969,0.00073,-0.2840005159378052,0.08553991466760635,151999
156000,100.0,746.06329069,1560,21986,7,3.0636119842529297,-359.7888488769531,0.00073,-0.638412356376648,0.08261574059724808,152999
157000,100.0,746.58976549,1570,22130,7,4.064091682434082,-352.5089416503906,0.00073,0.5361717939376831,0.0813431590795517,153999
158000,100.0,746.0797947900002,1580,22276,7,5.6741790771484375,-354.05743408203125,0.00073,-0.24142679572105408,0.0842997208237648,154999
