rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
1169.19967429,238157,7,1220,33217,200.0,-3.624044418334961,0.00073,47.05213165283203,0.041784510016441345,-335.06842041015625,235156
1182.06797194,240157,7,1230,33504,200.0,-6.552676200866699,0.00073,62.288307189941406,0.043256714940071106,-361.2125549316406,237156
1197.7437862099998,242157,7,1240,33785,200.0,4.151649475097656,0.00073,56.485809326171875,0.04320702329277992,-338.7730407714844,239156
1271.36538148,244157,7,1250,34070,200.0,5.52377986907959,0.00073,75.26238250732422,0.04313633218407631,-362.26129150390625,241156
1223.74274651,246157,7,1260,34351,200.0,-16.35781478881836,0.00073,54.16874313354492,0.04215849190950394,-407.9903869628906,243156
1156.8272769900002,248157,7,1270,34632,200.0,-3.74448299407959,0.00073,62.70649719238281,0.041606638580560684,-357.31011962890625,245156
1216.00758813,250157,7,1280,34913,200.0,-2.222198486328125,0.00073,59.00659942626953,0.04004344344139099,-349.39556884765625,247156
1179.31563012,252157,7,1290,35195,200.0,6.8675336837768555,0.00073,58.852813720703125,0.04022326320409775,-333.52545166015625,249156
1242.28741664,254157,7,1300,35476,200.0,-1.9252891540527344,0.00073,54.59979248046875,0.03882112354040146,-371.156982421875,251156
1331.89284801,256157,7,1310,35760,200.0,-2.8369293212890625,0.00073,45.39109420776367,0.040640465915203094,-361.451416015625,253156
1364.5799050399999,258157,7,1320,36040,200.0,-2.794846296310425,0.00073,50.75763702392578,0.03965460881590843,-357.7127380371094,255156
1333.78933339,260157,7,1330,36321,200.0,4.470418453216553,0.00073,60.54905700683594,0.03921035677194595,-359.3631591796875,257156
1294.09250136,262157,7,1340,36601,200.0,3.3435399532318115,0.00073,59.19287872314453,0.04165033623576164,-367.5675354003906,259156
1298.31741553,264157,7,1350,36885,200.0,-1.4665946960449219,0.00073,54.6696662902832,0.040052760392427444,-374.5794677734375,261156
1343.32868912,266157,7,1360,37168,200.0,6.7460503578186035,0.00073,50.920654296875,0.039283398538827896,-342.8418273925781,263156
1343.5155808099998,268157,7,1370,37449,200.0,-0.7574913501739502,0.00073,51.57544708251953,0.039413414895534515,-388.4035949707031,265156
1233.74778358,270157,7,1380,37729,200.0,0.4667419195175171,0.00073,47.688682556152344,0.03962152078747749,-365.89263916015625,267156
1299.6098513799998,272157,7,1390,38008,200.0,2.8797645568847656,0.00073,61.351295471191406,0.03828074410557747,-372.4329528808594,269156
1268.7495540500001,274157,7,1400,38292,200.0,-5.2327494621276855,0.00073,57.976070404052734,0.039516061544418335,-375.1544189453125,271156
1226.14104997,276157,7,1410,38579,200.0,-9.555963516235352,0.00073,51.76885223388672,0.04025816544890404,-391.7778015136719,273156
1133.12333906,278157,7,1420,38866,200.0,-1.259763479232788,0.00073,38.34956359863281,0.0386124812066555,-365.416015625,275156
1136.9068878500002,280157,7,1430,39153,200.0,7.636859893798828,0.00073,51.30604553222656,0.03705316409468651,-335.9629211425781,277156
1190.86162797,282157,7,1440,39440,200.0,-5.810653209686279,0.00073,67.34210968017578,0.03905909135937691,-352.43853759765625,279156
1149.51906602,284157,7,1450,39739,200.0,3.0709362030029297,0.00073,47.86443328857422,0.04029339924454689,-385.15863037109375,281156
1081.3640646200001,286157,7,1460,40024,200.0,2.376514434814453,0.00073,66.76957702636719,0.038205910474061966,-384.9156799316406,283156
1114.7083231400002,288104,7,1470,40303,199.47,4.291562080383301,0.00073,67.97222900390625,0.039299335330724716,-368.3694152832031,285103
1140.99096045,290104,7,1480,40590,199.47,4.535306930541992,0.00073,66.10516357421875,0.04067792370915413,-365.30816650390625,287103
1213.7070447899998,292104,7,1490,40876,199.47,-5.292313575744629,0.00073,46.73558044433594,0.03938116878271103,-391.530517578125,289103
1205.60443876,294104,7,1500,41163,199.47,-0.38439714908599854,0.00073,61.781005859375,0.03943175449967384,-362.73675537109375,291103
1151.9164593100002,296104,7,1510,41449,199.47,7.950897693634033,0.00073,67.81132507324219,0.03947708383202553,-378.3949890136719,293103
1209.6149925299999,298104,7,1520,41738,199.47,5.698035717010498,0.00073,70.28211975097656,0.0399954691529274,-383.930908203125,295103
1221.2931978499998,300104,7,1530,42029,199.47,1.2195533514022827,0.00073,75.69194793701172,0.040096405893564224,-382.4613037109375,297103
1180.7125237199998,302104,7,1540,42320,199.47,-3.562883138656616,0.00073,60.04112243652344,0.03963148966431618,-388.9056396484375,299103
1152.8522725,304104,7,1550,42608,199.47,-13.736468315124512,0.00073,61.38835144042969,0.03949226066470146,-407.2027587890625,301103
1174.69036371,306104,7,1560,42900,199.47,-13.49555778503418,0.00073,57.50828552246094,0.0385291650891304,-426.13330078125,303103
1124.52192825,308104,7,1570,43187,200.0,-10.495100021362305,0.00073,55.37433624267578,0.03888135030865669,-381.4850769042969,305103
1164.80848696,310104,7,1580,43475,200.0,4.790762424468994,0.00073,73.14891052246094,0.037215862423181534,-379.7750244140625,307103
1010.0017658,312104,7,1590,43763,200.0,-10.468171119689941,0.00073,66.40418243408203,0.03882719576358795,-400.3235168457031,309103
978.0276323999999,314104,7,1600,44050,200.0,-3.1530048847198486,0.00073,59.02008056640625,0.038058340549468994,-409.3494873046875,311103
1012.7117442499999,316104,7,1610,44337,200.0,-0.9493800401687622,0.00073,63.56798553466797,0.03742873668670654,-416.51123046875,313103
1009.0462573500002,318104,7,1620,44621,200.0,-6.086202621459961,0.00073,79.92941284179688,0.038051705807447433,-403.52716064453125,315103
