time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef
1870,370951,50863,7,2052.6394547299997,200.0,4.752787113189697,7.712780952453613,367950,-601.3009033203125,0.00073,0.01354239135980606
1880,372951,51144,7,2067.02940086,200.0,5.722109794616699,21.832592010498047,369950,-599.1170043945312,0.00073,0.014341539703309536
1890,374951,51425,7,2097.94486195,200.0,6.122143745422363,-13.063035011291504,371950,-615.1339111328125,0.00073,0.013328151777386665
1900,376951,51707,7,2124.20058481,200.0,4.717394828796387,-10.798768997192383,373950,-610.6556396484375,0.00073,0.012850874103605747
1910,378951,51991,7,2131.873886,200.0,5.255885124206543,-5.618863105773926,375950,-610.2636108398438,0.00073,0.013354755938053131
1920,380951,52273,7,2114.20539765,200.0,4.589861869812012,1.4457054138183594,377950,-619.397705078125,0.00073,0.013847769238054752
1930,382951,52554,7,2131.92966213,200.0,4.662384033203125,0.6609936952590942,379950,-620.7744140625,0.00073,0.014090711250901222
1940,384951,52834,7,2107.38968897,200.0,6.886467933654785,-8.98366641998291,381950,-616.0276489257812,0.00073,0.012989046052098274
1950,386951,53115,7,2145.02692459,200.0,5.727895736694336,3.2187891006469727,383950,-620.6574096679688,0.00073,0.013585356064140797
1960,388951,53398,7,2162.49445216,200.0,5.323454856872559,-6.880474090576172,385950,-620.98681640625,0.00073,0.01405617780983448
1970,390951,53678,7,2151.71718909,200.0,5.1740522384643555,7.432927131652832,387950,-623.644775390625,0.00073,0.012707366608083248
1980,392951,53962,7,2101.99940286,200.0,4.179732799530029,-0.9371014833450317,389950,-623.940185546875,0.00073,0.012894947081804276
1990,394951,54245,7,2097.60634312,200.0,6.237880706787109,-10.182144165039062,391950,-626.541748046875,0.00073,0.013533947058022022
2000,396951,54525,7,2078.92859012,200.0,4.289282321929932,-1.9803775548934937,393950,-613.9871826171875,0.00073,0.012615537270903587
2010,398951,54804,7,2049.09364041,200.0,6.0951619148254395,1.1424589157104492,395950,-617.2637939453125,0.00073,0.013218271546065807
2020,400951,55089,7,2076.19145243,200.0,5.714463233947754,13.223673820495605,397950,-634.813232421875,0.00073,0.012584139592945576
2030,402951,55375,7,2089.6347908,200.0,4.058831691741943,-8.334911346435547,399950,-625.1116333007812,0.00073,0.012393270619213581
2040,404951,55657,7,2109.41411405,200.0,7.771792411804199,-2.7219176292419434,401950,-616.1979370117188,0.00073,0.011942396871745586
2050,406951,55942,7,2106.03924209,200.0,4.8845601081848145,-9.758026123046875,403950,-620.63818359375,0.00073,0.012378966435790062
2060,408951,56226,7,2124.9350685900004,200.0,4.149919033050537,-7.11962366104126,405950,-622.9491577148438,0.00073,0.012609054334461689
2070,410951,56510,7,2151.0351216799995,200.0,5.738081932067871,-4.172048091888428,407950,-632.8011474609375,0.00073,0.011830338276922703
