time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
1720,7,23998,716.0566114,172000,100.0,168999,1.8450992107391357,0.8612934350967407,0.00073,-375.2724914550781,0.014762010425329208
1730,7,24143,716.5079848,173000,100.0,169999,2.3518741130828857,0.48755377531051636,0.00073,-374.5823669433594,0.014302845112979412
1740,7,24288,717.1483528299999,174000,100.0,170999,-0.4421362280845642,0.5076544284820557,0.00073,-377.60870361328125,0.013938621617853642
1750,7,24431,717.66480845,175000,100.0,171999,-0.07362781465053558,1.4663344621658325,0.00073,-376.5954284667969,0.012984203174710274
1760,7,24576,717.7650522299998,176000,100.0,172999,-1.0211893320083618,0.4319274425506592,0.00073,-377.54461669921875,0.012701963074505329
1770,7,24720,717.9603073699999,177000,100.0,173999,-0.6185586452484131,0.310491144657135,0.00073,-378.84954833984375,0.016094330698251724
1780,7,24864,718.30563258,178000,100.0,174999,0.9704411625862122,0.35716891288757324,0.00073,-376.36187744140625,0.013823128305375576
1790,7,25010,718.3157846699999,179000,100.0,175999,0.07449403405189514,0.6594206690788269,0.00073,-377.3368835449219,0.014632479287683964
1800,7,25154,718.8418408199999,180000,100.0,176999,0.599868655204773,0.34672319889068604,0.00073,-378.4985656738281,0.01407079678028822
1810,7,25300,718.7517927200001,181000,100.0,177999,0.6457767486572266,0.3707408010959625,0.00073,-375.7613525390625,0.01602093130350113
1820,7,25444,718.72504171,182000,100.0,178999,-0.6469467878341675,0.3752477169036865,0.00073,-377.0816650390625,0.014366433955729008
1830,7,25590,718.86752704,183000,100.0,179999,0.03520733118057251,0.4473976790904999,0.00073,-377.15277099609375,0.015456142835319042
1840,7,25735,718.7221603500001,184000,100.0,180999,1.7836365699768066,0.23025423288345337,0.00073,-377.483642578125,0.01423670630902052
1850,7,25879,718.58024511,185000,100.0,181999,0.9428132772445679,0.613976001739502,0.00073,-375.2825927734375,0.016028327867388725
1860,7,26023,718.8667223200001,186000,100.0,182999,0.8912733793258667,0.48452502489089966,0.00073,-376.4695739746094,0.015713397413492203
1870,7,26168,718.9806131900001,187000,100.0,183999,0.49707508087158203,0.6036248207092285,0.00073,-376.1164245605469,0.014105736277997494
1880,7,26313,718.7360579700002,188000,100.0,184999,1.0068390369415283,0.5326133370399475,0.00073,-376.1099548339844,0.014469068497419357
1890,7,26458,718.7346396299998,189000,100.0,185999,-0.9167234301567078,0.5324416756629944,0.00073,-377.0919494628906,0.015685824677348137
1900,7,26602,718.54900681,190000,100.0,186999,-1.3614370822906494,0.27561646699905396,0.00073,-377.6241455078125,0.01401068177074194
1910,7,26746,718.4688782399999,191000,100.0,187999,1.711389422416687,1.3880162239074707,0.00073,-377.52044677734375,0.01358741708099842
1920,7,26890,718.5632715799999,192000,100.0,188999,1.6641085147857666,0.46871957182884216,0.00073,-377.2244873046875,0.016878493130207062
1930,7,27033,718.4433638699999,193000,100.0,189999,0.5695421695709229,0.5333360433578491,0.00073,-377.3928527832031,0.015716273337602615
1940,7,27176,718.6599330600002,194000,100.0,190999,0.7337363958358765,0.7278009653091431,0.00073,-376.59527587890625,0.013951261527836323
