rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
100.0,169792,23387,322.3336946,1700,7,166791,-160.36843872070312,0.09027498960494995,0.1355385184288025,0.00073,12.86729907989502
100.0,170792,23527,362.16971070000005,1710,7,167791,-162.66448974609375,0.08702662587165833,-0.524955153465271,0.00073,15.563589096069336
100.0,171792,23668,355.40513388,1720,7,168791,-154.60511779785156,0.09047022461891174,-1.3022710084915161,0.00073,11.8081693649292
100.0,172792,23809,380.57936855,1730,7,169791,-170.3529052734375,0.09000911563634872,0.5270349383354187,0.00073,14.761995315551758
100.0,173792,23951,378.96818502,1740,7,170791,-168.06613159179688,0.08995336294174194,-0.5933355689048767,0.00073,15.936235427856445
100.0,174792,24093,383.4137845099999,1750,7,171791,-159.6346435546875,0.09042366594076157,0.38489601016044617,0.00073,15.717142105102539
100.0,175792,24235,384.23794172000004,1760,7,172791,-173.71469116210938,0.08874235302209854,-0.004483282566070557,0.00073,19.43956184387207
100.0,176792,24376,359.02305788000007,1770,7,173791,-178.67466735839844,0.08922042697668076,-0.31277188658714294,0.00073,14.655261039733887
100.0,177792,24518,369.9703957000001,1780,7,174791,-147.89639282226562,0.0902717188000679,-0.49473893642425537,0.00073,15.985530853271484
100.0,178792,24660,356.7291100499999,1790,7,175791,-163.269287109375,0.0890360176563263,-0.27633988857269287,0.00073,13.14111614227295
100.0,179792,24803,342.85764496999997,1800,7,176791,-148.95657348632812,0.09281899034976959,-0.13379459083080292,0.00073,14.982601165771484
100.0,180792,24945,319.51616208,1810,7,177791,-156.82464599609375,0.08962590992450714,-1.045427918434143,0.00073,13.027286529541016
100.0,181792,25085,326.77251416999997,1820,7,178791,-177.92088317871094,0.08823910355567932,-0.3041509687900543,0.00073,13.549946784973145
100.0,182792,25229,314.50827045,1830,7,179791,-173.3297119140625,0.088372141122818,-0.06782296299934387,0.00073,14.91160774230957
100.0,183792,25371,321.06542263000006,1840,7,180791,-158.54559326171875,0.08938487619161606,0.8024248480796814,0.00073,17.039016723632812
100.0,184792,25514,317.45286841999996,1850,7,181791,-177.55450439453125,0.08913765102624893,0.7904980182647705,0.00073,15.205291748046875
100.0,185792,25657,335.84365103000005,1860,7,182791,-172.1959991455078,0.08971899747848511,0.19891059398651123,0.00073,12.159114837646484
100.0,186792,25796,362.61568238,1870,7,183791,-168.0673370361328,0.08918414264917374,-0.5523701906204224,0.00073,13.488324165344238
100.0,187792,25939,356.91399315999996,1880,7,184791,-167.84117126464844,0.09016313403844833,-0.4210166931152344,0.00073,14.605337142944336
