rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
44.42,10508,81108,194.36376308,1960,7,0.00073,6.8520612716674805,616.4691162109375,0.12902669608592987,-814.16455078125,78107
46.31,10574,81598,168.57728607,1970,7,0.00073,10.259042739868164,1943.02587890625,0.12645220756530762,-810.7586059570312,78597
47.84,10637,82060,200.3883107,1980,7,0.00073,3.767069101333618,502.9081115722656,0.12074574083089828,-840.8270874023438,79059
47.84,10708,82560,197.98956627999996,1990,7,0.00073,5.61955451965332,447.90576171875,0.12350821495056152,-781.8419799804688,79559
46.67,10763,82943,229.42238347000006,2000,7,0.00073,-1.873919129371643,329.1873779296875,0.12189465761184692,-791.4243774414062,79942
46.67,10833,83443,203.52119322000001,2010,7,0.00073,0.7802249193191528,340.4466247558594,0.12491357326507568,-843.1132202148438,80442
46.44,10899,83920,312.7978958,2020,7,0.00073,-6.346783638000488,436.35015869140625,0.12224859744310379,-747.30859375,80919
46.61,10967,84420,282.91377329,2030,7,0.00073,2.449798822402954,338.46942138671875,0.12488379329442978,-783.9755859375,81419
47.17,11036,84920,287.07624935999996,2040,7,0.00073,-6.832802772521973,398.36279296875,0.12577807903289795,-704.9931030273438,81919
47.3,11100,85396,295.61820609,2050,7,0.00073,-1.41242253780365,254.2838134765625,0.1225370466709137,-810.789794921875,82395
47.58,11164,85866,301.5723104,2060,7,0.00073,-4.563648223876953,365.76983642578125,0.11432851850986481,-770.904052734375,82865
45.75,11206,86173,311.78877315,2070,7,0.00073,-0.5090528726577759,351.0464782714844,0.11574993282556534,-729.3012084960938,83172
44.31,11249,86491,301.7169622200001,2080,7,0.00073,7.050260543823242,1140.455810546875,0.11667951941490173,-917.740234375,83490
43.01,11299,86861,349.75698571,2090,7,0.00073,0.7058985829353333,1203.3525390625,0.11557834595441818,-815.045654296875,83860
43.88,11363,87331,350.72804167000004,2100,7,0.00073,6.885018348693848,207.03964233398438,0.11437475681304932,-863.8412475585938,84330
43.31,11424,87774,385.28050133,2110,7,0.00073,-1.686644196510315,517.9984130859375,0.12035255879163742,-791.3735961914062,84773
42.83,11482,88203,291.27930053,2120,7,0.00073,-3.413524627685547,246.28988647460938,0.11550303548574448,-799.788818359375,85202
42.83,11550,88703,280.22530191000004,2130,7,0.00073,-1.5065791606903076,397.35113525390625,0.1155725046992302,-821.7232055664062,85702
42.28,11611,89148,287.52808306,2140,7,0.00073,-3.4244320392608643,421.06292724609375,0.12346535176038742,-789.2631225585938,86147
41.92,11671,89588,273.61103347000005,2150,7,0.00073,0.15624791383743286,1573.305419921875,0.12024259567260742,-793.4027099609375,86587
42.22,11739,90088,311.6159468999999,2160,7,0.00073,2.075082302093506,1366.6572265625,0.11804510653018951,-821.1646728515625,87087
43.44,11797,90517,307.13335734,2170,7,0.00073,-12.257511138916016,802.5901489257812,0.11583774536848068,-702.6209106445312,87516
