time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
1560,770.2844633199999,100.0,7,156000,21591,-1.063915729522705,0.0919220969080925,0.003167898626998067,-393.98370361328125,0.00073,152999
1570,770.55452954,100.0,7,157000,21735,-3.031893730163574,0.048706263303756714,0.003175195539370179,-393.9217529296875,0.00073,153999
1580,770.17457115,100.0,7,158000,21877,-2.618953227996826,0.1218329668045044,0.003195864148437977,-394.5650634765625,0.00073,154999
1590,770.1145258099999,100.0,7,159000,22019,-3.0983450412750244,0.09395302832126617,0.0030134120024740696,-394.8377685546875,0.00073,155999
1600,770.22512233,100.0,7,160000,22162,-1.0427519083023071,0.12581351399421692,0.003123041009530425,-393.9814758300781,0.00073,156999
1610,768.4253175999999,100.0,7,161000,22304,-5.672513484954834,0.07462466508150101,0.0030122657772153616,-395.4749450683594,0.00073,157999
1620,768.01154035,100.0,7,162000,22446,-2.267782211303711,0.03801223263144493,0.0030890696216374636,-394.79534912109375,0.00073,158999
1630,768.7070468899999,100.0,7,163000,22589,4.097865581512451,0.08776077628135681,0.0028774698730558157,-393.581787109375,0.00073,159999
1640,770.8666346800002,100.0,7,164000,22731,1.4801218509674072,0.12406796216964722,0.0027514544781297445,-393.6603088378906,0.00073,160999
1650,770.4037591100001,100.0,7,165000,22873,2.1676366329193115,0.11290255188941956,0.002973179565742612,-394.0912780761719,0.00073,161999
1660,769.9789038299999,100.0,7,166000,23019,1.4887864589691162,0.11828351765871048,0.0028033496346324682,-394.085205078125,0.00073,162999
1670,769.79396377,100.0,7,167000,23164,-0.48518669605255127,0.0647975504398346,0.0030625818762928247,-393.7991027832031,0.00073,163999
1680,770.58249075,100.0,7,168000,23309,-1.743499994277954,0.07101164013147354,0.002868643030524254,-394.61767578125,0.00073,164999
1690,769.9327381200003,100.0,7,169000,23453,1.0266013145446777,0.14798879623413086,0.0027560503222048283,-394.30938720703125,0.00073,165999
1700,770.75746874,100.0,7,170000,23596,-2.339475631713867,0.10694098472595215,0.002787268254905939,-394.9087219238281,0.00073,166999
1710,772.04486139,100.0,7,171000,23739,-1.1488208770751953,0.05463145300745964,0.0027243387885391712,-394.90478515625,0.00073,167999
1720,771.9831040400001,100.0,7,172000,23883,-0.5068211555480957,0.13741534948349,0.002887573791667819,-394.1792907714844,0.00073,168999
1730,773.0681092099999,100.0,7,173000,24026,-3.218235969543457,0.12091535329818726,0.002893076976761222,-394.61651611328125,0.00073,169999
1740,771.40962138,100.0,7,174000,24174,-0.18109315633773804,0.14150674641132355,0.0028830086812376976,-394.6535339355469,0.00073,170999
1750,772.25509645,100.0,7,175000,24318,0.3355906307697296,0.06630194932222366,0.00271838391199708,-394.08721923828125,0.00073,171999
1760,771.85715883,100.0,7,176000,24461,0.582482099533081,0.1632538139820099,0.0028537854086607695,-394.1609191894531,0.00073,172999
1770,771.5689571200002,100.0,7,177000,24605,2.7565488815307617,0.07605446130037308,0.002614439930766821,-394.1578674316406,0.00073,173999
1780,772.1417260799999,100.0,7,178000,24748,0.6442022919654846,0.10934267193078995,0.00278508011251688,-393.9942932128906,0.00073,174999
1790,772.9127170400003,100.0,7,179000,24893,-1.4221384525299072,0.19419428706169128,0.0027721975930035114,-394.53118896484375,0.00073,175999
1800,772.9073985499999,100.0,7,180000,25037,-1.0126092433929443,0.06478603929281235,0.002649095607921481,-394.7228698730469,0.00073,176999
1810,772.9429855700001,100.0,7,181000,25182,1.8432376384735107,0.10041265934705734,0.0028600902296602726,-393.5618896484375,0.00073,177999
