time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
6,844217,699.3208364699999,8690,121306,100.0,0.009508006274700165,0.5051739811897278,-401.6734619140625,0.00073,841216,18.89574432373047
6,845217,734.12502611,8700,121450,100.0,0.00974585022777319,0.918323278427124,-401.9316101074219,0.00073,842216,5.739537715911865
6,846217,740.4317181099999,8710,121595,100.0,0.0102815181016922,0.8521043658256531,-401.4184875488281,0.00073,843216,-19.791580200195312
6,847217,741.5671382099999,8720,121738,100.0,0.010527691803872585,0.7585588097572327,-399.4239807128906,0.00073,844216,11.851166725158691
6,848217,743.77932288,8730,121882,100.0,0.010689379647374153,0.724776029586792,-399.32232666015625,0.00073,845216,4.489682197570801
6,849217,738.7409216099998,8740,122028,100.0,0.01102466881275177,0.8339166641235352,-398.4615478515625,0.00073,846216,-8.237741470336914
6,850217,738.8103416399999,8750,122173,100.0,0.010519793257117271,0.719368040561676,-398.3677673339844,0.00073,847216,-25.37557029724121
6,851217,743.4327819700001,8760,122324,100.0,0.010447991080582142,0.7256138324737549,-398.5513000488281,0.00073,848216,-2.5072951316833496
6,852217,765.41540077,8770,122470,100.0,0.010091462172567844,2.727891206741333,-399.0655822753906,0.00073,849216,-17.97547149658203
6,853217,767.2448902900001,8780,122615,100.0,0.010616136714816093,0.6601771116256714,-397.82794189453125,0.00073,850216,-4.979964256286621
6,854217,760.7421393999998,8790,122758,100.0,0.012806390412151814,0.8519918322563171,-399.70037841796875,0.00073,851216,-7.984012126922607
6,855217,739.77484429,8800,122905,100.0,0.014368838630616665,1.3411790132522583,-403.9548034667969,0.00073,852216,1.2424333095550537
6,856217,738.16688856,8810,123049,100.0,0.012838110327720642,0.7697123289108276,-403.3395690917969,0.00073,853216,2.4200751781463623
6,857217,738.29148555,8820,123193,100.0,0.012005574069917202,0.822311282157898,-401.38037109375,0.00073,854216,-3.812023639678955
6,858217,738.23999786,8830,123338,100.0,0.011162515729665756,0.5661320090293884,-400.8740234375,0.00073,855216,-4.978105545043945
6,859217,713.9726164800002,8840,123484,100.0,0.02749512903392315,3.4829461574554443,-415.6744384765625,0.00073,856216,8.443169593811035
6,860190,676.968051,8850,123626,99.73,0.024649053812026978,2.3647756576538086,-428.8971862792969,0.00073,857189,-7.348233222961426
6,861190,676.94685859,8860,123770,99.73,0.016471017152071,1.5320693254470825,-425.66180419921875,0.00073,858189,0.5791997909545898
6,862190,677.7562274600001,8870,123916,99.73,0.013800209388136864,1.8158173561096191,-415.80938720703125,0.00073,859189,5.171544075012207
6,863190,678.50914213,8880,124061,99.73,0.011469637975096703,0.6596002578735352,-412.30889892578125,0.00073,860189,11.012925148010254
