iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
63,1.2509584426879883,-538.4771913782693,3.1805605655406137,-529.2499161462035,-546.5683579162974,0.0,0.6007389345388517,0.1,0.032981157302856445,0.23516035079956055,0.04941734,0.16671695,-539.3051216764418,-0.1353975474867455,-2.4835971928669793,0.0,1753,0.378450870513916,7.164006084801467e-05,6.407857218123179e-05,-535.8450793720802,0.0
64,1.3480587005615234,-538.9103152085705,3.1824217000245563,-528.7373253080996,-545.0797551838383,0.0,0.5651760896023198,0.1,0.00983881950378418,0.34684133529663086,0.05043965,0.17503536,-539.2656410296547,-0.13330847866141673,-2.4857406726108393,0.0,1776,0.39520764350891113,8.072563431759558e-05,5.998453077489584e-05,-535.8396547976489,0.0
65,1.4364607334136963,-539.0490539275743,3.4897970357599215,-530.0676539326339,-553.2188436680701,0.0,0.5758176727793005,0.1,0.011188745498657227,0.2749149799346924,0.050484817,0.17051576,-539.2439823194467,-0.13522798351568502,-2.4865502532522625,0.0,1781,0.41055798530578613,7.774143400692361e-05,6.768634203365696e-05,-537.7113437680391,0.0
66,1.2732861042022705,-539.0095127337952,4.112770285064841,-530.1338054682142,-554.4643155808412,0.0,0.5916859504782394,0.1,0.018803119659423828,0.3139662742614746,0.050946295,0.16872421,-539.2205353608815,-0.13357599395839748,-2.486368319433372,0.0,1774,0.4571099281311035,7.562004131698428e-05,7.141054074935043e-05,-537.3678640972653,0.0
67,1.3883111476898193,-539.2160128132376,3.9329538010192877,-530.2271041333632,-553.4479839324378,0.0,0.5781945302717024,0.1,0.06530547142028809,0.2053518295288086,0.05133603,0.17630263,-539.2200831061172,-0.13518995590485475,-2.487340734231731,0.0,1795,0.39215993881225586,6.659075608517618e-05,6.13147355563937e-05,-536.2405486469492,0.0
68,1.400493860244751,-539.471661144228,3.4495533396496536,-531.2524544347967,-547.6862563188705,0.0,0.5953306006593586,0.1,0.021228790283203125,0.31447744369506836,0.050438553,0.1585883,-539.2452409099283,-0.13327171368054713,-2.488533325351547,0.0,1817,0.423861026763916,6.945411864178299e-05,6.288191699738759e-05,-536.1711077945578,0.0
69,1.667898416519165,-538.7475938297935,3.701306417080546,-530.4977676430871,-551.0312620014673,0.0,0.5705919795763493,0.1,0.0502934455871582,0.30071353912353516,0.05034448,0.17468308,-539.1954762019149,-0.13171036914676407,-2.4850717240887716,0.0,1790,0.4055311679840088,6.538245925893105e-05,6.321440415079408e-05,-536.016042668484,0.0
70,1.530630350112915,-539.1020840703532,3.934220234203448,-530.755364841344,-551.2161958994157,0.0,0.6018123467795654,0.1,0.023250341415405273,0.28462719917297363,0.05095657,0.15977795,-539.1861369887587,-0.1330849962072518,-2.4867262256524794,0.0,1801,0.24308371543884277,6.415289661870942e-05,5.951044436343673e-05,-537.5359997906728,0.0
71,1.854339599609375,-539.6783890121159,3.494711622623071,-530.6684187689658,-547.8867830064085,0.0,0.6096367471787231,0.1,0.009198665618896484,0.3110647201538086,0.05086981,0.1529352,-539.2353621910944,-0.13319554795563393,-2.4897121311381967,0.0,1838,0.46497201919555664,6.822343453469733e-05,6.0584072110841124e-05,-537.281877523059,0.0
72,1.330869197845459,-539.3047170083286,3.9745644792967805,-531.4185444970641,-553.1076172505379,0.0,0.6615261119470314,0.1,0.029772043228149414,0.2790532112121582,0.050526507,0.14594238,-539.2422976728178,-0.13093443770634905,-2.487832755096821,0.0,1816,0.4427509307861328,6.434621153533536e-05,5.988001611350504e-05,-537.1775334352113,0.0
73,1.5633916854858398,-539.3518862590148,3.618580323124975,-530.5755640450396,-547.9370274512685,0.0,0.5989852788815921,0.1,0.028965234756469727,0.2709512710571289,0.050053228,0.15851025,-539.2532565314375,-0.1310617968604922,-2.487926622465464,0.0,1831,0.4245595932006836,6.103393212421932e-05,5.7245874895896424e-05,-537.5285288984273,0.0
74,1.5063343048095703,-539.4325818643659,3.6888895443428855,-532.0049185765693,-550.4443906586465,0.0,0.6264747134151094,0.1,0.02018260955810547,0.22614741325378418,0.050291233,0.15727101,-539.2711890647304,-0.13446083804419454,-2.4883751744916154,0.0,1815,0.42400693893432617,6.600266815702833e-05,5.9219661099319693e-05,-536.7337270879214,0.0
75,1.4990990161895752,-539.2491488803271,3.8663397593812006,-529.5331100755252,-550.9502964466703,0.0,0.6310038843490988,0.1,0.01689767837524414,0.300579309463501,0.049387354,0.15630332,-539.26898504629,-0.13184532462863885,-2.487485287565317,0.0,1814,0.40040016174316406,6.104216058479137e-05,5.645159714357917e-05,-536.462916853653,0.0
76,1.4455876350402832,-539.2162597382178,3.8285454692338474,-530.7059018422112,-555.5553903195103,0.0,0.5869036943694871,0.1,0.024445533752441406,0.32620716094970703,0.050796755,0.16787177,-539.2637125154828,-0.13517209001678052,-2.48724369254799,0.0,1798,0.4324953556060791,6.12044082070214e-05,5.59707450910965e-05,-536.8668837711256,0.0
