time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
1250,100.0,125000,16091,-234.31694347,7,0.003607172053307295,0.00073,0.296352744102478,102.29301452636719,-9.844585418701172,121999
1260,100.0,126000,16225,-231.99466231,7,0.0036672346759587526,0.00073,0.3640742301940918,103.72541046142578,-5.360483646392822,122999
1270,100.0,127000,16358,-232.30833095000003,7,0.003603121964260936,0.00073,0.33376994729042053,102.57267761230469,-2.102158546447754,123999
1280,100.0,128000,16492,-230.76207612999994,7,0.003637049812823534,0.00073,0.30945637822151184,102.46297454833984,6.298762798309326,124999
1290,100.0,129000,16625,-229.76187609000002,7,0.003566622966900468,0.00073,0.28525835275650024,103.93040466308594,19.27499008178711,125999
1300,100.0,130000,16759,-229.58807033000002,7,0.003615796100348234,0.00073,0.3368378281593323,101.45195770263672,-1.8662396669387817,126999
1310,100.0,131000,16893,-228.93430380999996,7,0.003682750277221203,0.00073,0.42269906401634216,101.93024444580078,3.848844528198242,127999
1320,100.0,132000,17027,-226.71894132,7,0.003542487043887377,0.00073,0.2861946225166321,102.56794738769531,-0.16387391090393066,128999
1330,100.0,133000,17158,-226.48412806999997,7,0.0035995962098240852,0.00073,0.3586137592792511,103.40882873535156,-4.1995744705200195,129999
1340,100.0,134000,17292,-226.91737493,7,0.0036518960259854794,0.00073,0.3509315252304077,100.94367980957031,-2.0794365406036377,130999
1350,100.0,135000,17425,-225.8953316600001,7,0.003675983287394047,0.00073,0.3457134962081909,100.7799301147461,-1.7507320642471313,131999
1360,100.0,136000,17556,-227.72490868000006,7,0.0037707206793129444,0.00073,0.3388093113899231,101.55738830566406,-10.496702194213867,132999
1370,100.0,137000,17689,-226.82957628,7,0.003746293019503355,0.00073,0.3107494115829468,101.91340637207031,22.049951553344727,133999
1380,100.0,138000,17822,-227.86278663000002,7,0.0037777104880660772,0.00073,0.314095139503479,100.91250610351562,-6.190342903137207,134999
1390,100.0,139000,17956,-227.89984747000003,7,0.0037470809184014797,0.00073,0.3238205909729004,100.03990936279297,-2.0177879333496094,135999
1400,100.0,140000,18090,-228.07902095,7,0.003755527548491955,0.00073,0.34386512637138367,99.68334197998047,-4.608321189880371,136999
1410,100.0,141000,18226,-228.67853994,7,0.0038310487288981676,0.00073,0.3443552553653717,99.48595428466797,7.008212566375732,137999
1420,100.0,142000,18362,-226.12230478999993,7,0.0038939497899264097,0.00073,0.34550124406814575,98.01799774169922,-8.594675064086914,138999
1430,100.0,143000,18495,-223.68010418999998,7,0.003917328082025051,0.00073,0.36169862747192383,96.67603302001953,12.711389541625977,139999
1440,100.0,144000,18629,-222.28801646,7,0.00375065254047513,0.00073,0.3074210584163666,98.93659210205078,-0.8468477725982666,140999
1450,100.0,145000,18763,-221.83733231999997,7,0.0038791350089013577,0.00073,0.34750545024871826,97.69579315185547,3.113149642944336,141999
1460,100.0,146000,18896,-221.69998871000004,7,0.003848222317174077,0.00073,0.3605697453022003,97.47986602783203,-10.790903091430664,142999
1470,100.0,147000,19030,-220.02435272000005,7,0.0038720108568668365,0.00073,0.35500025749206543,96.05829620361328,-1.5339986085891724,143999
1480,100.0,148000,19163,-218.70713753,7,0.004043302033096552,0.00073,0.40258756279945374,94.47098541259766,-3.750171661376953,144999
1490,100.0,149000,19297,-219.98257510000002,7,0.0038540344685316086,0.00073,0.4503052532672882,97.2171401977539,1.594839334487915,145999
1500,100.0,150000,19430,-220.22212474,7,0.0036941752769052982,0.00073,0.3317285180091858,98.05200958251953,5.095996856689453,146999
1510,100.0,151000,19564,-217.67832348999997,7,0.003618847578763962,0.00073,0.298825740814209,96.09748840332031,4.134801864624023,147999
1520,100.0,152000,19698,-218.15562288999993,7,0.0036643382627516985,0.00073,0.42366522550582886,95.21942138671875,4.393937110900879,148999
1530,100.0,153000,19831,-218.14629813,7,0.0035476868506520987,0.00073,0.36543262004852295,96.62966918945312,19.348609924316406,149999
1540,100.0,154000,19965,-217.64557222,7,0.003516610711812973,0.00073,0.3339160978794098,97.0098648071289,0.687612771987915,150999
1550,100.0,155000,20099,-217.84519350000002,7,0.0034533983562141657,0.00073,0.3818165063858032,96.80587768554688,-12.770390510559082,151999
1560,100.0,156000,20234,-216.55861139999996,7,0.0035484989639371634,0.00073,0.4326516091823578,98.60530853271484,-3.663412570953369,152999
1570,100.0,157000,20367,-216.81391968,7,0.0035317703150212765,0.00073,0.38930386304855347,96.7720947265625,-3.6366536617279053,153999
1580,100.0,158000,20501,-214.83778228,7,0.003576065879315138,0.00073,0.38375914096832275,97.51705932617188,-2.701948881149292,154999
1590,100.0,159000,20635,-213.82603914,7,0.003486782778054476,0.00073,0.2792222201824188,97.36156463623047,-1.6737041473388672,155999
1600,100.0,160000,20768,-213.14741958,7,0.0035320683382451534,0.00073,0.2865335941314697,95.70121002197266,-19.01568031311035,156999
1610,100.0,161000,20901,-210.98619811999998,7,0.0035060441587120295,0.00073,0.32227519154548645,96.20243835449219,-0.4619370996952057,157999
1620,100.0,162000,21034,-211.79337515,7,0.003446900052949786,0.00073,0.32958701252937317,97.17859649658203,1.8583033084869385,158999
1630,100.0,163000,21167,-211.7713448,7,0.003513932228088379,0.00073,0.3405689597129822,95.66464233398438,17.49219512939453,159999
1640,100.0,164000,21300,-211.29019101999998,7,0.0034717635717242956,0.00073,0.31901872158050537,95.837890625,-2.4747695922851562,160999
1650,100.0,165000,21434,-211.29476213,7,0.003553002839908004,0.00073,0.3256269097328186,95.36402893066406,-1.3944578170776367,161999
