rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
38.74,1324443,7,30440,-187.49513921999997,186022,0.00073,-10.06640338897705,0.025395726785063744,1321442,19.796388626098633,97.2196273803711
37.94,1324708,7,30450,-189.95414926,186059,0.00073,-11.594544410705566,0.024792198091745377,1321707,17.102436065673828,103.89720153808594
36.33,1324980,7,30460,-192.60263262,186097,0.00073,-3.4004898071289062,0.024539554491639137,1321979,21.467927932739258,93.99662017822266
37.34,1325445,7,30470,-193.38321610999995,186161,0.00073,-1.9557840824127197,0.024648278951644897,1322444,19.854022979736328,93.9080581665039
37.01,1325846,7,30480,-191.27639279000002,186216,0.00073,14.031110763549805,0.02525883913040161,1322845,18.79701805114746,83.35883331298828
36.75,1326186,7,30490,-194.28110977000003,186264,0.00073,-3.6563308238983154,0.02448466047644615,1323185,19.00525665283203,101.48565673828125
36.48,1326587,7,30500,-192.97037640000002,186321,0.00073,9.270920753479004,0.023633360862731934,1323586,18.509014129638672,91.53087615966797
35.8,1326987,7,30510,-191.95202819999997,186378,0.00073,6.882066249847412,0.023860501125454903,1323986,20.3013916015625,103.72416687011719
37.12,1327386,7,30520,-191.03801225999996,186435,0.00073,-6.158940315246582,0.02481783553957939,1324385,18.3994140625,102.03764343261719
37.45,1327786,7,30530,-189.0334797,186491,0.00073,1.5252410173416138,0.02432405948638916,1324785,15.569189071655273,99.76487731933594
36.45,1328088,7,30540,-191.73808232000007,186534,0.00073,-3.7381935119628906,0.023588882759213448,1325087,17.20238494873047,93.75260162353516
37.5,1328458,7,30550,-189.62270254999999,186588,0.00073,0.4527973532676697,0.02397787570953369,1325457,16.548004150390625,98.91410827636719
38.8,1328860,7,30560,-185.78144077999997,186645,0.00073,4.478586196899414,0.023443615064024925,1325859,26.72451400756836,95.39208984375
38.16,1329261,7,30570,-185.24270312000004,186703,0.00073,1.4954580068588257,0.023507285863161087,1326260,16.5134220123291,93.10233306884766
37.5,1329596,7,30580,-185.12098276000003,186750,0.00073,-8.815450668334961,0.0234232097864151,1326595,17.323331832885742,95.53667449951172
37.51,1329937,7,30590,-185.72703320999997,186797,0.00073,-1.8280843496322632,0.02266811765730381,1326936,20.51076889038086,98.7154541015625
36.9,1330277,7,30600,-186.34473436,186846,0.00073,-0.5314852595329285,0.023667091503739357,1327276,15.400838851928711,100.59278869628906
36.9,1330677,7,30610,-186.52477105999998,186904,0.00073,0.7234565019607544,0.024454737082123756,1327676,23.23206901550293,91.28046417236328
36.68,1331054,7,30620,-185.35657558000003,186957,0.00073,-7.0532050132751465,0.023748546838760376,1328053,13.865195274353027,106.55007934570312
36.33,1331419,7,30630,-189.45079126000005,187010,0.00073,1.8679354190826416,0.02304178848862648,1328418,19.055526733398438,102.0928955078125
36.65,1331753,7,30640,-186.55232416999996,187058,0.00073,-1.9096695184707642,0.02348710596561432,1328752,16.18022346496582,102.448974609375
36.95,1332153,7,30650,-188.21051139999997,187115,0.00073,4.819925785064697,0.023116039112210274,1329152,17.714637756347656,95.25975799560547
36.61,1332521,7,30660,-191.39625740999998,187168,0.00073,12.582565307617188,0.023461714386940002,1329520,21.902538299560547,94.27108001708984
35.53,1332814,7,30670,-192.24746442,187210,0.00073,5.318604469299316,0.023741748183965683,1329813,18.642990112304688,89.00148010253906
36.17,1333213,7,30680,-193.73134953000002,187267,0.00073,0.27350136637687683,0.02397320605814457,1330212,18.753559112548828,106.38301849365234
36.07,1333544,7,30690,-192.83442604,187313,0.00073,-5.856663227081299,0.023822695016860962,1330543,19.733455657958984,86.72815704345703
36.44,1333921,7,30700,-197.84063736,187367,0.00073,2.7327370643615723,0.023160215467214584,1330920,14.718923568725586,95.68403625488281
37.11,1334388,7,30710,-194.69877891999997,187435,0.00073,-2.450695514678955,0.023770933970808983,1331387,17.19464111328125,93.89759063720703
37.67,1334821,7,30720,-194.17473961,187499,0.00073,-1.4377774000167847,0.022986534982919693,1331820,19.27397918701172,94.41891479492188
37.73,1335192,7,30730,-191.58722589,187553,0.00073,9.423981666564941,0.023982929065823555,1332191,24.63568115234375,90.22463989257812
38.05,1335558,7,30740,-194.08293221,187606,0.00073,-3.891796112060547,0.0236000157892704,1332557,18.932353973388672,100.20945739746094
37.6,1335913,7,30750,-193.02925026999998,187657,0.00073,3.5974788665771484,0.023555079475045204,1332912,15.72022819519043,90.74869537353516
37.99,1336320,7,30760,-194.15659258999997,187716,0.00073,6.999247074127197,0.02443724125623703,1333319,35.504730224609375,90.46979522705078
38.06,1336620,7,30770,-194.33114005,187759,0.00073,12.792007446289062,0.02350589632987976,1333619,16.752197265625,95.43154907226562
38.39,1337052,7,30780,-192.78794363999995,187822,0.00073,1.5939865112304688,0.0237251129001379,1334051,17.56007194519043,104.54083251953125
38.74,1337418,7,30790,-191.86953792999998,187874,0.00073,-5.500853538513184,0.02357971854507923,1334417,14.859109878540039,99.39141845703125
38.63,1337784,7,30800,-185.70576833000004,187927,0.00073,11.054717063903809,0.023732829838991165,1334783,16.66490936279297,94.06251525878906
37.63,1338151,7,30810,-189.82954039,187980,0.00073,0.25229573249816895,0.02340881898999214,1335150,19.64680290222168,91.27239227294922
36.35,1338456,7,30820,-191.72980969000002,188026,0.00073,-17.21163558959961,0.024236688390374184,1335455,26.82961082458496,103.72876739501953
36.29,1338821,7,30830,-191.03634168000005,188079,0.00073,2.443127155303955,0.023922281339764595,1335820,20.475296020507812,100.5088119506836
35.67,1339125,7,30840,-191.05866279999998,188123,0.00073,-0.12679964303970337,0.024039266631007195,1336124,18.187610626220703,94.43679809570312
35.12,1339425,7,30850,-192.94934936,188167,0.00073,3.059415102005005,0.023578042164444923,1336424,21.67437744140625,93.07014465332031
34.05,1339725,7,30860,-190.76428101999997,188211,0.00073,-7.93686580657959,0.024086395278573036,1336724,13.561022758483887,93.47886657714844
33.37,1339957,7,30870,-190.62661339,188245,0.00073,0.8837336301803589,0.024284731596708298,1336956,20.292924880981445,99.83100128173828
31.47,1340199,7,30880,-192.15665603000002,188281,0.00073,-17.408464431762695,0.02386658266186714,1337198,16.626611709594727,95.28845977783203
32.47,1340665,7,30890,-192.34410648999997,188350,0.00073,-1.4439723491668701,0.02378261834383011,1337664,18.068527221679688,103.87555694580078
33.14,1341098,7,30900,-194.60535798,188414,0.00073,5.033158302307129,0.024836931377649307,1338097,18.915851593017578,96.30735778808594
32.45,1341396,7,30910,-194.68131644000002,188458,0.00073,3.415041446685791,0.023815050721168518,1338395,18.236583709716797,101.18740844726562
33.74,1341830,7,30920,-192.92574374999995,188522,0.00073,4.674705505371094,0.024099085479974747,1338829,22.642072677612305,93.12999725341797
34.75,1342296,7,30930,-195.11715098000002,188592,0.00073,6.2546706199646,0.02357073687016964,1339295,18.901750564575195,102.55178833007812
35.05,1342630,7,30940,-195.52811609,188643,0.00073,-0.517364501953125,0.024620262905955315,1339629,21.87040901184082,91.78992462158203
36.27,1343052,7,30950,-194.20809433000002,188705,0.00073,2.6966683864593506,0.023822439834475517,1340051,19.756282806396484,93.2206039428711
36.75,1343400,7,30960,-194.30140326,188758,0.00073,-2.0817039012908936,0.025197481736540794,1340399,19.495412826538086,99.01174926757812
37.47,1343704,7,30970,-193.48402990000005,188804,0.00073,3.1841702461242676,0.025052297860383987,1340703,23.7886962890625,93.42887878417969
38.05,1344004,7,30980,-191.96617685,188848,0.00073,-2.305919885635376,0.02482491172850132,1341003,15.835187911987305,92.91609191894531
37.02,1344367,7,30990,-190.3418662,188902,0.00073,2.204169511795044,0.02469806745648384,1341366,17.88037109375,93.96443939208984
36.74,1344772,7,31000,-190.02648103999996,188963,0.00073,0.8529456853866577,0.024967024102807045,1341771,26.22840118408203,85.7584228515625
37.64,1345160,7,31010,-188.51593016000004,189021,0.00073,-1.2921080589294434,0.024826936423778534,1342159,21.56047821044922,93.02754974365234
36.61,1345491,7,31020,-189.32601295000003,189070,0.00073,-4.208995342254639,0.025010915473103523,1342490,17.115467071533203,96.0360107421875
35.57,1345853,7,31030,-191.29962201999996,189123,0.00073,9.010664939880371,0.02490299567580223,1342852,18.421968460083008,89.98760223388672
35.35,1346165,7,31040,-190.99066686999993,189170,0.00073,1.51664137840271,0.024422114714980125,1343164,21.366390228271484,99.7929458618164
35.46,1346598,7,31050,-190.73972923000002,189235,0.00073,0.2967858612537384,0.024776000529527664,1343597,19.887386322021484,91.31797790527344
36.31,1347031,7,31060,-189.19116377999998,189300,0.00073,7.030213832855225,0.025169597938656807,1344030,18.82925796508789,92.24978637695312
36.84,1347388,7,31070,-190.26515682000002,189354,0.00073,-0.9189126491546631,0.024551475420594215,1344387,19.13425064086914,99.97547149658203
38.5,1347854,7,31080,-188.93767236999997,189425,0.00073,2.101072072982788,0.024230143055319786,1344853,16.255979537963867,108.82068634033203
38.18,1348185,7,31090,-192.01982753999997,189475,0.00073,7.172350883483887,0.02519163116812706,1345184,22.204782485961914,92.98433685302734
37.16,1348488,7,31100,-194.19384662000004,189521,0.00073,-0.7861846685409546,0.02470236085355282,1345487,19.999019622802734,94.0279312133789
37.6,1348920,7,31110,-194.17253822000004,189587,0.00073,-2.309195041656494,0.02509305439889431,1345919,19.47629165649414,100.7520523071289
37.63,1349254,7,31120,-195.71762492999994,189637,0.00073,-12.678781509399414,0.024809783324599266,1346253,20.370529174804688,94.65775299072266
37.68,1349621,7,31130,-193.11877379999999,189694,0.00073,-1.3055236339569092,0.024890316650271416,1346620,19.979557037353516,85.95014190673828
38.88,1350053,7,31140,-190.41787075999997,189760,0.00073,-3.0852231979370117,0.0247041042894125,1347052,22.72491455078125,90.9748764038086
38.84,1350482,7,31150,-193.18360305000004,189826,0.00073,5.44580078125,0.025328703224658966,1347481,18.93529510498047,83.80264282226562
