time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
7,236.36543391999996,96.63,65962,8676,1690,0.00073,62961,0.026037780568003654,-140.899658203125,108.99847412109375,0.957191526889801
7,248.37345431000003,95.65,66864,8802,1700,0.00073,63863,0.027305763214826584,-140.28298950195312,42.123146057128906,12.717313766479492
7,259.37161188,95.65,67864,8940,1710,0.00073,64863,0.027991795912384987,-145.28445434570312,19.727312088012695,-5.772749423980713
7,273.90797755,95.65,68864,9078,1720,0.00073,65863,0.028745660558342934,-156.15390014648438,21.492530822753906,-2.5493967533111572
7,288.70668784000003,97.61,69864,9216,1730,0.00073,66863,0.02864130027592182,-154.99317932128906,32.957035064697266,-5.640671253204346
7,291.71481912,97.57,70860,9354,1740,0.00073,67859,0.029607214033603668,-160.98793029785156,19.783016204833984,11.096378326416016
7,295.47248727000004,98.55,71860,9495,1750,0.00073,68859,0.03010721318423748,-163.57345581054688,21.949050903320312,-3.8451180458068848
7,294.69826039,98.55,72860,9636,1760,0.00073,69859,0.030614759773015976,-169.68197631835938,19.014169692993164,6.71504545211792
7,299.09085567,98.55,73860,9776,1770,0.00073,70859,0.029634663835167885,-166.23196411132812,27.368301391601562,0.906523585319519
7,303.87180379999995,98.98,74860,9917,1780,0.00073,71859,0.030246445909142494,-169.7854766845703,15.356219291687012,-3.3305065631866455
7,311.08945426,98.98,75860,10060,1790,0.00073,72859,0.030781449750065804,-172.54237365722656,30.994674682617188,-6.416698455810547
7,314.45822158,99.96,76860,10201,1800,0.00073,73859,0.029102588072419167,-178.7365264892578,27.888351440429688,0.10781091451644897
7,299.77623668,99.96,77860,10350,1810,0.00073,74859,0.029928486794233322,-179.1144561767578,15.317346572875977,-7.708298683166504
7,282.6553307,98.98,78762,10484,1820,0.00073,75761,0.028648149222135544,-176.322265625,33.97040557861328,4.310641288757324
7,285.98549005,98.98,79762,10634,1830,0.00073,76761,0.030454322695732117,-178.62232971191406,15.691615104675293,18.674697875976562
7,287.45910982000004,99.02,80762,10784,1840,0.00073,77761,0.02925783582031727,-182.4687042236328,18.453990936279297,-7.918203353881836
7,295.77946604,99.02,81762,10935,1850,0.00073,78761,0.029640458524227142,-185.51638793945312,19.82929229736328,-8.294290542602539
7,298.99820236,99.02,82762,11085,1860,0.00073,79761,0.029741104692220688,-180.849365234375,33.82671356201172,10.432619094848633
7,299.22739583,99.02,83762,11236,1870,0.00073,80761,0.0293029323220253,-183.2448272705078,16.92192840576172,-6.287111282348633
7,304.91881293999995,99.02,84762,11386,1880,0.00073,81761,0.029182547703385353,-188.1044158935547,29.77609634399414,2.6665148735046387
7,305.4631411,99.02,85762,11536,1890,0.00073,82761,0.03151731565594673,-188.727783203125,36.99786376953125,-2.945695400238037
7,310.33769714000005,99.02,86762,11686,1900,0.00073,83761,0.030078701674938202,-187.96514892578125,19.089250564575195,-4.931388854980469
7,328.3941280699999,99.02,87762,11840,1910,0.00073,84761,0.029905447736382484,-193.0163116455078,90.80872344970703,6.736876010894775
7,344.80763322,100.0,88762,11991,1920,0.00073,85761,0.029098689556121826,-190.10984802246094,41.456233978271484,6.181249141693115
7,348.59269359000007,100.0,89762,12144,1930,0.00073,86761,0.027976524084806442,-186.3551788330078,13.228595733642578,-2.8919944763183594
7,354.88301113999995,100.0,90762,12297,1940,0.00073,87761,0.028883373364806175,-190.47677612304688,38.42314529418945,7.146204948425293
7,356.33994584999994,100.0,91762,12447,1950,0.00073,88761,0.028813185170292854,-192.95193481445312,32.51696014404297,11.141532897949219
7,356.08387956999997,100.0,92762,12596,1960,0.00073,89761,0.029876677319407463,-194.3430633544922,15.197059631347656,-9.99392318725586
7,353.52325926,100.0,93762,12748,1970,0.00073,90761,0.029030364006757736,-191.22325134277344,37.199119567871094,-15.682657241821289
7,354.22510114000005,100.0,94762,12898,1980,0.00073,91761,0.027393655851483345,-194.31565856933594,20.009782791137695,-0.45687946677207947
7,356.82689452000005,100.0,95762,13050,1990,0.00073,92761,0.026904510334134102,-189.88848876953125,13.678560256958008,0.978155791759491
7,359.3540564099999,100.0,96762,13202,2000,0.00073,93761,0.027685226872563362,-191.64651489257812,20.562847137451172,0.6737308502197266
7,358.58686284000004,100.0,97762,13352,2010,0.00073,94761,0.02673650160431862,-191.53604125976562,18.006486892700195,-3.215132236480713
7,358.6259299799999,100.0,98762,13502,2020,0.00073,95761,0.026477215811610222,-190.7928009033203,19.709835052490234,0.989496648311615
7,356.6086948200001,100.0,99762,13654,2030,0.00073,96761,0.02701547183096409,-194.08413696289062,32.968505859375,-3.575268030166626
7,356.91408423999997,100.0,100762,13805,2040,0.00073,97761,0.025630636140704155,-190.962646484375,14.326630592346191,-7.982773303985596
7,358.75601729000005,100.0,101762,13955,2050,0.00073,98761,0.025550229474902153,-188.66539001464844,13.273050308227539,0.4427030086517334
7,363.66920023000006,100.0,102762,14103,2060,0.00073,99761,0.025824973359704018,-191.71914672851562,12.348250389099121,-5.699699878692627
7,365.91274444000004,99.02,103664,14239,2070,0.00073,100663,0.024438604712486267,-189.92202758789062,8.52806282043457,-7.230974197387695
7,367.72630570999996,99.02,104664,14394,2080,0.00073,101663,0.025013228878378868,-187.7991485595703,18.60808563232422,17.108972549438477
7,363.5192004,99.02,105664,14545,2090,0.00073,102663,0.023782912641763687,-193.2715606689453,10.839483261108398,11.56406307220459
7,363.9934418200001,99.02,106664,14698,2100,0.00073,103663,0.02448737621307373,-191.29995727539062,13.24691104888916,5.9152913093566895
7,365.15288454999995,99.02,107664,14848,2110,0.00073,104663,0.02449207566678524,-189.89495849609375,7.582098960876465,-4.6403069496154785
7,361.90276062,98.04,108566,14985,2120,0.00073,105565,0.023796826601028442,-188.26394653320312,20.144519805908203,0.5407214164733887
7,361.70243215000005,98.04,109566,15136,2130,0.00073,106565,0.024107785895466805,-189.9367218017578,21.87525177001953,14.455970764160156
7,358.733114,98.04,110566,15286,2140,0.00073,107565,0.024686582386493683,-189.69937133789062,7.238897800445557,-1.0266153812408447
7,356.36869967,98.04,111566,15439,2150,0.00073,108565,0.02342885732650757,-190.34828186035156,9.7168607711792,-1.7195472717285156
7,357.25830169999995,98.04,112566,15590,2160,0.00073,109565,0.02428877353668213,-190.9149627685547,24.889755249023438,2.896679639816284
7,359.3440901800001,99.02,113566,15742,2170,0.00073,110565,0.025259586051106453,-187.84088134765625,8.207748413085938,-21.413421630859375
7,359.2601005899999,99.02,114566,15893,2180,0.00073,111565,0.023035692051053047,-189.05514526367188,13.732938766479492,4.7968549728393555
7,364.1880692400001,99.02,115566,16044,2190,0.00073,112565,0.023298928514122963,-191.75875854492188,12.272740364074707,1.7527105808258057
7,365.4101584499999,99.02,116566,16191,2200,0.00073,113565,0.022364417091012,-193.0662841796875,10.805843353271484,-1.7853233814239502
7,366.87939844,99.02,117566,16336,2210,0.00073,114565,0.02312474697828293,-191.59786987304688,17.878604888916016,-10.137895584106445
7,369.98723575,100.0,118566,16483,2220,0.00073,115565,0.022551454603672028,-193.19491577148438,6.885682582855225,6.600811958312988
7,372.21670394,100.0,119566,16629,2230,0.00073,116565,0.022533224895596504,-188.99588012695312,15.064685821533203,13.42092514038086
7,376.77316072,100.0,120566,16775,2240,0.00073,117565,0.023560740053653717,-189.99473571777344,13.818658828735352,-8.948504447937012
7,377.03785394999994,100.0,121566,16920,2250,0.00073,118565,0.021981900557875633,-190.94639587402344,8.311846733093262,-0.38862133026123047
7,377.74418412000006,100.0,122566,17066,2260,0.00073,119565,0.022293956950306892,-191.3754425048828,8.188972473144531,-1.1050300598144531
7,372.9106088,99.02,123468,17197,2270,0.00073,120467,0.022248759865760803,-191.01531982421875,10.807239532470703,-1.54302179813385
7,375.06502961999996,99.02,124468,17342,2280,0.00073,121467,0.021539829671382904,-194.49685668945312,16.351097106933594,2.6583707332611084
7,374.52465147000004,99.02,125468,17484,2290,0.00073,122467,0.02191939204931259,-191.2576446533203,9.681714057922363,-14.856794357299805
7,373.51149534,99.02,126468,17625,2300,0.00073,123467,0.021977487951517105,-190.76235961914062,14.433773040771484,2.97882080078125
7,375.6699106299999,99.02,127468,17766,2310,0.00073,124467,0.02167019620537758,-191.94583129882812,9.507221221923828,9.020210266113281
7,377.09116951,99.02,128468,17906,2320,0.00073,125467,0.021548906341195107,-188.74497985839844,11.172962188720703,-14.902579307556152
7,377.61018222000007,99.02,129468,18047,2330,0.00073,126467,0.020731380209326744,-189.74807739257812,16.259002685546875,7.946087837219238
7,373.40470721000014,99.02,130468,18198,2340,0.00073,127467,0.020541716367006302,-191.0782470703125,6.459819793701172,-0.5366367101669312
7,374.0130744399999,99.02,131468,18348,2350,0.00073,128467,0.020302698016166687,-193.61257934570312,8.845931053161621,1.855151891708374
7,375.76617462999997,99.02,132468,18497,2360,0.00073,129467,0.020068733021616936,-190.69961547851562,33.73261642456055,-2.4698777198791504
7,381.11254369999995,100.0,133468,18645,2370,0.00073,130467,0.020057952031493187,-192.07034301757812,10.365410804748535,-2.7616286277770996
7,378.42828047,100.0,134468,18796,2380,0.00073,131467,0.020545747131109238,-190.87619018554688,11.877997398376465,0.4208705425262451
7,376.0834488399999,100.0,135468,18945,2390,0.00073,132467,0.020679250359535217,-189.99095153808594,16.660375595092773,-3.7643327713012695
7,374.77541663999995,100.0,136468,19096,2400,0.00073,133467,0.020649006590247154,-194.24819946289062,61.66292953491211,1.3734709024429321
7,372.63276591,100.0,137468,19246,2410,0.00073,134467,0.020259903743863106,-192.2001953125,8.265617370605469,-0.19439172744750977
7,372.29101806000006,100.0,138468,19395,2420,0.00073,135467,0.020214347168803215,-193.35366821289062,9.103543281555176,-8.91290283203125
