time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
49538,44.91,24.298459239999996,7,6223,1310,0.00073,4.805840015411377,-698.1402587890625,0.10817742347717285,141.63795471191406,46537
50038,45.62,24.78140727000001,7,6291,1320,0.00073,-2.0519490242004395,-724.1920166015625,0.1035669669508934,123.19939422607422,47037
50505,46.36,20.3809818,7,6353,1330,0.00073,-6.0048508644104,-632.2154541015625,0.10082913190126419,143.2650909423828,47504
51005,46.36,12.019850060000003,7,6420,1340,0.00073,2.6008901596069336,-637.8152465820312,0.09214702993631363,182.93844604492188,48004
51434,46.15,0.22757091999999993,7,6477,1350,0.00073,-9.678863525390625,-626.9039916992188,0.09467647224664688,191.24720764160156,48433
51832,45.13,14.577467799999996,7,6531,1360,0.00073,3.064393997192383,-633.2728881835938,0.09179697185754776,113.63258361816406,48831
52283,44.64,23.245110849999996,7,6591,1370,0.00073,4.873603343963623,-620.4446411132812,0.08750196546316147,141.17294311523438,49282
52575,42.79,5.48838466,7,6630,1380,0.00073,-3.9129233360290527,-619.639404296875,0.09107106924057007,338.3468017578125,49574
52985,43.1,7.194189520000001,7,6686,1390,0.00073,3.955068349838257,-705.4406127929688,0.09117333590984344,522.6622314453125,49984
53464,44.26,8.164972600000002,7,6750,1400,0.00073,-8.579205513000488,-601.4447631835938,0.09040682762861252,569.8382568359375,50463
53862,43.24,8.245144090000004,7,6803,1410,0.00073,0.02371653914451599,-655.8873291015625,0.09315341711044312,104.12950134277344,50861
54320,42.82,6.905416290000005,7,6865,1420,0.00073,-0.6391334533691406,-618.9791870117188,0.09517146646976471,216.4445037841797,51319
54724,42.19,6.761892630000005,7,6918,1430,0.00073,-1.0715513229370117,-675.0520629882812,0.09394851326942444,138.91162109375,51723
55182,41.77,7.750159340000003,7,6979,1440,0.00073,-3.818155527114868,-631.5214233398438,0.09547372907400131,130.52444458007812,52181
55654,42.2,14.977460010000007,7,7042,1450,0.00073,5.7896647453308105,-667.3062744140625,0.09222162514925003,252.7061767578125,52653
56092,42.6,-10.912206320000001,7,7101,1460,0.00073,-1.7068442106246948,-589.4024047851562,0.09317534416913986,259.7432861328125,53091
56527,42.44,-19.64686003,7,7159,1470,0.00073,-3.850200891494751,-635.8131713867188,0.09387113898992538,134.33731079101562,53526
56878,43.03,-19.956499580000003,7,7206,1480,0.00073,6.266312599182129,-685.5264892578125,0.09597250819206238,149.53182983398438,53877
57248,42.63,-20.86123734,7,7255,1490,0.00073,0.3257608413696289,-620.421875,0.10277526080608368,532.646484375,54247
57663,41.99,-22.92857893,7,7311,1500,0.00073,0.03440576791763306,-640.68798828125,0.10364606231451035,130.64239501953125,54662
58121,42.59,22.95037447,7,7372,1510,0.00073,5.950488090515137,-647.7334594726562,0.1057359129190445,491.50531005859375,55120
58604,42.84,25.621707139999998,7,7437,1520,0.00073,6.67524528503418,-677.4310913085938,0.1060779020190239,175.57696533203125,55603
59079,43.55,23.630660149999997,7,7500,1530,0.00073,-4.0894083976745605,-695.0567626953125,0.10526143014431,189.50823974609375,56078
59579,43.97,26.238696649999998,7,7567,1540,0.00073,8.128827095031738,-690.3495483398438,0.10586372762918472,268.3761291503906,56578
60077,44.23,20.54335540999999,7,7634,1550,0.00073,-2.529747724533081,-682.0762329101562,0.10575759410858154,154.10775756835938,57076
60567,44.75,30.301091470000006,7,7700,1560,0.00073,3.665724754333496,-691.5853881835938,0.10177329927682877,159.76931762695312,57566
61061,45.34,33.31288454,7,7765,1570,0.00073,-1.1526814699172974,-658.3152465820312,0.10758181661367416,231.128662109375,58060
61535,46.57,38.38109746,7,7828,1580,0.00073,-1.5498281717300415,-722.6013793945312,0.10220959037542343,981.7933349609375,58534
61997,47.49,38.610824199999996,7,7890,1590,0.00073,-3.385572910308838,-707.6058349609375,0.09847797453403473,204.33978271484375,58996
