time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
162000,1620,23058,7,769.3563468599999,100.0,0.00073,158999,-4.45830774307251,-394.6837158203125,0.002723625861108303,0.10575942695140839
163000,1630,23205,7,768.1132497399999,100.0,0.00073,159999,-3.8581011295318604,-395.8375244140625,0.0025771688669919968,0.05518826097249985
164000,1640,23352,7,768.35723487,100.0,0.00073,160999,3.226879835128784,-395.1945495605469,0.0024312215391546488,0.18709759414196014
165000,1650,23499,7,768.5927176900001,100.0,0.00073,161999,1.827178716659546,-395.280029296875,0.0026422315277159214,0.06551060080528259
166000,1660,23645,7,768.97232358,100.0,0.00073,162999,-1.3857250213623047,-395.2594909667969,0.0025219381786882877,0.1093367263674736
167000,1670,23792,7,768.94838246,100.0,0.00073,163999,0.08958563208580017,-395.23858642578125,0.002492167055606842,0.07009567320346832
168000,1680,23939,7,769.7457879300002,100.0,0.00073,164999,-2.534055709838867,-395.3382873535156,0.0025559940841048956,0.12616437673568726
169000,1690,24087,7,769.2287132800001,100.0,0.00073,165999,-1.0288026332855225,-394.3038024902344,0.0022592574823647738,0.21188288927078247
170000,1700,24233,7,769.1313278800002,100.0,0.00073,166999,-0.3100292980670929,-395.0447692871094,0.0028505485970526934,0.08848916739225388
171000,1710,24379,7,767.4825224000001,100.0,0.00073,167999,-4.306593894958496,-395.0322265625,0.002531162928789854,0.08271479606628418
172000,1720,24525,7,768.5471994300001,100.0,0.00073,168999,2.0844833850860596,-394.3218688964844,0.00256156618706882,0.10554058849811554
173000,1730,24672,7,768.59231143,100.0,0.00073,169999,-3.055840015411377,-395.4771423339844,0.0028939186595380306,0.07783624529838562
174000,1740,24819,7,768.1565151200001,100.0,0.00073,170999,0.13238894939422607,-394.4814147949219,0.002661709440872073,0.09337522089481354
175000,1750,24967,7,768.4377368400002,100.0,0.00073,171999,-0.023292124271392822,-395.332275390625,0.002569259610027075,0.09053774178028107
176000,1760,25114,7,768.43993218,100.0,0.00073,172999,0.10827475786209106,-394.7271728515625,0.0026006908155977726,0.1785615086555481
177000,1770,25261,7,768.60009631,100.0,0.00073,173999,2.7746145725250244,-394.5615539550781,0.0025294015649706125,0.1626276969909668
178000,1780,25409,7,769.0647761599998,100.0,0.00073,174999,-0.4429771900177002,-395.0131530761719,0.002562085399404168,0.047460030764341354
179000,1790,25557,7,770.02713958,100.0,0.00073,175999,-2.532938003540039,-395.1806640625,0.002395814983174205,0.04497506096959114
180000,1800,25706,7,769.7511447399999,100.0,0.00073,176999,2.1933040618896484,-394.58831787109375,0.0026645208708941936,0.06817532330751419
181000,1810,25855,7,770.5571853600002,100.0,0.00073,177999,0.07339197397232056,-394.9493103027344,0.0023950268514454365,0.05891928821802139
182000,1820,26004,6,770.34629844,100.0,0.00073,178999,-1.2154009342193604,-394.92626953125,0.002636913675814867,0.07513657957315445
183000,1830,26150,6,770.6096701199999,100.0,0.00073,179999,2.445615291595459,-394.45758056640625,0.002592306351289153,0.1270863115787506
184000,1840,26297,6,771.8602611000001,100.0,0.00073,180999,6.695888519287109,-394.07427978515625,0.0026946519501507282,0.10574780404567719
