time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
9740,7,75928,59.7,-245.59949887,1520,0.05489093065261841,0.00073,72927,-59.84980010986328,-0.2441847026348114,66.21144104003906
9813,7,76476,58.77,-245.12179527999996,1530,0.053581275045871735,0.00073,73475,-53.58988571166992,6.1195478439331055,74.0994873046875
9886,7,77021,57.09,-243.10592145,1540,0.05715060606598854,0.00073,74020,-50.766048431396484,-1.2100036144256592,69.20950317382812
9974,7,77672,57.78,-239.51487319,1550,0.05537726357579231,0.00073,74671,-55.14873504638672,2.171109199523926,57.14049530029297
10076,7,78422,60.3,-231.23351718999996,1560,0.055643294006586075,0.00073,75421,-48.04425811767578,2.568208694458008,54.48670959472656
10169,7,79094,60.32,-234.03658369999997,1570,0.055538468062877655,0.00073,76093,-55.31972885131836,-5.253302097320557,61.595359802246094
10245,7,79658,59.07,-233.62991122999995,1580,0.054525360465049744,0.00073,76657,-45.72132873535156,11.485783576965332,64.56549072265625
10332,7,80309,58.95,-227.01904924,1590,0.05518321692943573,0.00073,77308,-39.96511459350586,0.6803016066551208,66.73431396484375
10405,7,80848,58.38,-241.48984304999993,1600,0.05176805332303047,0.00073,77847,-41.2556266784668,1.504088282585144,61.20558547973633
10484,7,81443,59.57,-241.72841989999998,1610,0.050915155559778214,0.00073,78442,-31.982173919677734,-2.8327698707580566,58.08381652832031
10552,7,81940,60.12,-241.31368586,1620,0.0506807342171669,0.00073,78939,-28.30508804321289,-4.181783199310303,55.515018463134766
10634,7,82550,60.74,-233.28156971,1630,0.05012298375368118,0.00073,79549,-48.817440032958984,-3.9775311946868896,60.56109619140625
10695,7,83000,59.79,-229.135683,1640,0.05132054537534714,0.00073,79999,-13.417821884155273,-6.523207187652588,58.759422302246094
10782,7,83652,59.8,-240.45559169999996,1650,0.05245647206902504,0.00073,80651,-21.72576141357422,-6.723798751831055,59.82990264892578
10871,7,84313,58.91,-240.25963541000002,1660,0.05239490047097206,0.00073,81312,-11.047694206237793,-3.8021962642669678,74.8006820678711
10955,7,84936,58.42,-235.13493717,1670,0.051274705678224564,0.00073,81935,-24.278560638427734,3.8224213123321533,61.08098220825195
11040,7,85573,59.15,-226.77281610000003,1680,0.05333099141716957,0.00073,82572,-29.298709869384766,-0.5431957244873047,65.07256317138672
11136,7,86275,59.66,-213.04871187999998,1690,0.05253094062209129,0.00073,83274,-35.57333755493164,11.44471549987793,68.2994613647461
11225,7,86939,60.91,-203.19212152,1700,0.05040373653173447,0.00073,83938,-28.937931060791016,-0.6804723739624023,48.87879180908203
11300,7,87496,60.53,-220.18246453,1710,0.047545745968818665,0.00073,84495,-34.73040771484375,-2.8454384803771973,57.24120330810547
11358,7,87938,59.98,-219.31329438999998,1720,0.04821108654141426,0.00073,84937,-26.24970054626465,-2.0687384605407715,44.817588806152344
11437,7,88526,59.76,-225.31998092,1730,0.04995163530111313,0.00073,85525,-31.952899932861328,3.015713691711426,63.36358642578125
11512,7,89088,60.88,-226.88571520000002,1740,0.04915003478527069,0.00073,86087,-30.492658615112305,-1.7176040410995483,53.710872650146484
11596,7,89716,60.64,-219.21241183,1750,0.047742635011672974,0.00073,86715,-19.48760414123535,3.750767469406128,56.49134063720703
11681,7,90349,60.36,-224.09401133000003,1760,0.048653945326805115,0.00073,87348,-18.633434295654297,4.865024566650391,47.44359588623047
11780,7,91094,61.58,-228.79020378,1770,0.04905470833182335,0.00073,88093,-9.76584243774414,0.24964046478271484,52.58418273925781
11875,7,91795,62.22,-228.50945217999998,1780,0.048599209636449814,0.00073,88794,-19.15755844116211,-3.206997871398926,50.840087890625
11977,7,92494,62.19,-234.03259244999998,1790,0.0476616732776165,0.00073,89493,-21.57339859008789,3.895814895629883,43.87046432495117
12066,7,93156,62.17,-224.29575370000006,1800,0.04730295389890671,0.00073,90155,-3.917630195617676,-2.9843337535858154,50.398414611816406
12138,7,93689,61.93,-206.72522883,1810,0.047400519251823425,0.00073,90688,-9.941253662109375,-0.9258140325546265,54.35527801513672
12216,7,94270,63.32,-190.84476207,1820,0.04678545519709587,0.00073,91269,-12.537107467651367,0.20067936182022095,53.01495361328125
