time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
7,1500,85485,11041,73.56,436.06080872,13.132978439331055,0.00073,82484,0.8089429140090942,0.06850628554821014,-198.0088653564453
7,1510,86235,11142,73.56,434.48328208,16.748462677001953,0.00073,83234,-1.6801629066467285,0.06869442760944366,-206.12591552734375
7,1520,86926,11236,72.97,423.9119375600001,13.633304595947266,0.00073,83925,-4.159055233001709,0.06827995926141739,-197.05455017089844
7,1530,87676,11337,72.97,424.18520324,16.79132843017578,0.00073,84675,5.807944297790527,0.06698820739984512,-220.12835693359375
7,1540,88426,11438,72.97,425.31131273000005,13.863852500915527,0.00073,85425,8.680888175964355,0.06742041558027267,-202.1918487548828
7,1550,89123,11533,72.44,413.70826817,18.002994537353516,0.00073,86122,0.051123082637786865,0.06550726294517517,-215.646240234375
7,1560,89847,11631,73.18,434.45655159999995,17.668479919433594,0.00073,86846,5.027570724487305,0.06496282666921616,-206.30706787109375
7,1570,90597,11733,73.62,462.03903020000007,18.132104873657227,0.00073,87596,2.992504119873047,0.06599288433790207,-210.53334045410156
7,1580,91347,11835,73.62,457.09588492999995,17.195425033569336,0.00073,88346,-0.4648386836051941,0.0653776153922081,-212.73538208007812
7,1590,92097,11937,73.62,447.27899257000007,14.76961898803711,0.00073,89096,3.1752400398254395,0.06535402685403824,-218.53485107421875
7,1600,92810,12034,73.25,439.45283961,13.317298889160156,0.00073,89809,-5.014425277709961,0.06371471285820007,-229.37164306640625
7,1610,93560,12134,73.25,436.88635801000004,17.001806259155273,0.00073,90559,3.3090994358062744,0.06520342826843262,-212.3896484375
7,1620,94310,12235,73.84,442.70980052000004,15.667157173156738,0.00073,91309,3.288947105407715,0.06328634917736053,-217.76451110839844
7,1630,95040,12333,73.64,435.22547585,18.849733352661133,0.00073,92039,4.108944892883301,0.06600596010684967,-226.71359252929688
7,1640,95790,12434,73.64,434.62387404000003,21.56429100036621,0.00073,92789,-6.818662643432617,0.06457113474607468,-216.40989685058594
7,1650,96540,12535,74.17,445.52605971,14.992476463317871,0.00073,93539,-2.3600997924804688,0.06448676437139511,-224.375
7,1660,97259,12633,74.12,446.18451234,13.595599174499512,0.00073,94258,-0.9169865846633911,0.0626009926199913,-225.6920928955078
7,1670,97958,12727,73.61,433.6337943499999,17.31589126586914,0.00073,94957,4.3272480964660645,0.0627145990729332,-222.59942626953125
7,1680,98496,12799,71.49,400.43274918,15.137977600097656,0.00073,95495,-1.1933844089508057,0.0632832869887352,-225.6884307861328
7,1690,99246,12901,71.49,410.46796434,22.918603897094727,0.00073,96245,3.6895267963409424,0.06291517615318298,-217.1491241455078
7,1700,99968,12998,71.58,411.43008877999995,24.484088897705078,0.00073,96967,0.2540498971939087,0.06454134732484818,-233.39395141601562
7,1710,100648,13088,70.88,393.0236133099999,19.849674224853516,0.00073,97647,2.3904638290405273,0.06182383373379707,-248.71006774902344
7,1720,101310,13177,70.0,353.18943743999995,27.686800003051758,0.00073,98309,0.18967771530151367,0.06555333733558655,-246.87313842773438
7,1730,102004,13270,69.64,302.63735868,23.994422912597656,0.00073,99003,-1.9339178800582886,0.06541967391967773,-244.5961151123047
7,1740,102754,13370,69.64,295.56620261,21.801525115966797,0.00073,99753,3.6623027324676514,0.06463202834129333,-221.7047576904297
7,1750,103504,13472,69.64,296.79503023999996,19.63532257080078,0.00073,100503,6.488333702087402,0.06574621796607971,-246.50860595703125
7,1760,104254,13573,69.95,302.09670112,20.767200469970703,0.00073,101253,-6.288487434387207,0.06390763819217682,-226.31480407714844
7,1770,105004,13673,70.46,312.66183267,18.371681213378906,0.00073,102003,2.1717379093170166,0.06311462074518204,-228.7676544189453
7,1780,105754,13773,72.58,347.87595229000004,16.323772430419922,0.00073,102753,1.8259609937667847,0.06138823181390762,-234.9490966796875
7,1790,106504,13875,72.58,343.80215761,19.30929946899414,0.00073,103503,-2.4409117698669434,0.06272601336240768,-247.30145263671875
7,1800,107254,13975,72.86,348.66210416999996,17.495845794677734,0.00073,104253,0.5068029165267944,0.061078716069459915,-231.55960083007812
