time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
7,739.62024519,19628,149136,1720,100.0,0.034636396914720535,146135,-4.149980068206787,-313.45770263671875,0.00073,3.0348644256591797
7,739.8367062199999,19766,150136,1730,100.0,0.03374895453453064,147135,3.0907247066497803,-316.6560974121094,0.00073,5.094151496887207
7,738.8063801400001,19903,151136,1740,100.0,0.033599853515625,148135,-0.21313953399658203,-320.22979736328125,0.00073,3.560871124267578
7,736.85000432,20040,152136,1750,100.0,0.033176518976688385,149135,0.17920047044754028,-318.5592956542969,0.00073,4.025859355926514
7,756.67634488,20177,153136,1760,100.0,0.03355579823255539,150135,-2.1032910346984863,-317.38665771484375,0.00073,2.9304561614990234
7,760.0238295,20314,154136,1770,100.0,0.03415017947554588,151135,-3.3951354026794434,-316.58502197265625,0.00073,4.6142473220825195
7,760.1837305599998,20451,155136,1780,100.0,0.03344391658902168,152135,-1.2803560495376587,-316.001953125,0.00073,3.524810314178467
7,760.4147244100001,20588,156136,1790,100.0,0.03370753303170204,153135,2.9054219722747803,-317.8112487792969,0.00073,3.24696683883667
7,765.1465661000001,20726,157136,1800,100.0,0.034329913556575775,154135,7.5451884269714355,-316.49249267578125,0.00073,8.990960121154785
7,767.2239374300002,20864,158136,1810,100.0,0.03497958555817604,155135,-3.613415241241455,-316.99957275390625,0.00073,3.5503127574920654
7,767.2678866899997,21002,159136,1820,100.0,0.034255340695381165,156135,-0.9255623817443848,-319.76190185546875,0.00073,3.858625888824463
7,767.33245949,21139,160136,1830,100.0,0.03481660038232803,157135,-1.304335117340088,-319.17041015625,0.00073,4.142332077026367
7,767.42968927,21276,161136,1840,100.0,0.034923255443573,158135,-1.9058268070220947,-318.1053161621094,0.00073,6.278750419616699
7,769.07708956,21413,162136,1850,100.0,0.03285619243979454,159135,1.2667732238769531,-321.6052551269531,0.00073,3.421173334121704
7,766.2643734200001,21551,163136,1860,100.0,0.03422974422574043,160135,-3.5912024974823,-321.575439453125,0.00073,3.448200225830078
7,765.8108331599999,21688,164136,1870,100.0,0.03400427848100662,161135,-3.024507761001587,-319.7644958496094,0.00073,3.481022834777832
7,765.96481894,21824,165136,1880,100.0,0.03396936133503914,162135,4.650906562805176,-320.4204406738281,0.00073,15.767698287963867
7,766.0870382100001,21961,166136,1890,100.0,0.032917555421590805,163135,2.7147984504699707,-319.60125732421875,0.00073,3.2998108863830566
7,766.0288153900001,22098,167136,1900,100.0,0.03320244327187538,164135,-2.431659698486328,-323.0622253417969,0.00073,3.92165470123291
7,765.8454938000001,22235,168136,1910,100.0,0.03396271914243698,165135,4.561722755432129,-326.09478759765625,0.00073,7.101212501525879
7,755.5184001499998,22372,169136,1920,100.0,0.03284529596567154,166135,5.676326751708984,-327.9558410644531,0.00073,3.2845678329467773
7,751.2071805899999,22509,170136,1930,100.0,0.03335777670145035,167135,-0.5554958581924438,-327.82867431640625,0.00073,4.186967372894287
7,751.84190726,22646,171136,1940,100.0,0.034247394651174545,168135,1.7895665168762207,-320.5634765625,0.00073,3.238290309906006
7,752.0752308300001,22784,172136,1950,100.0,0.03272946923971176,169135,-0.588704526424408,-320.66778564453125,0.00073,3.1303787231445312
7,755.2634565100001,22924,173136,1960,100.0,0.03346387296915054,170135,1.5221384763717651,-318.59539794921875,0.00073,8.683212280273438
7,755.9381130099999,23060,174136,1970,100.0,0.03305999934673309,171135,0.6674327850341797,-322.2941589355469,0.00073,3.353593587875366
7,755.8581210099999,23196,175136,1980,100.0,0.03294100612401962,172135,0.3678476810455322,-322.7662048339844,0.00073,2.9276843070983887
7,755.7420949599999,23333,176136,1990,100.0,0.03303339332342148,173135,-1.4932210445404053,-320.533203125,0.00073,3.595202922821045
7,755.8299992500001,23469,177136,2000,100.0,0.03270433843135834,174135,-4.990970611572266,-320.1757507324219,0.00073,3.3068344593048096
7,755.9680143700002,23607,178136,2010,100.0,0.03267189487814903,175135,-5.699093818664551,-326.1695861816406,0.00073,3.5025644302368164
7,766.3362879300001,23744,179136,2020,100.0,0.03228539600968361,176135,3.5289435386657715,-324.5529479980469,0.00073,3.2969179153442383
