time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
1340,3438,20.62,28009,-9.38149209,8,0.0012944687623530626,0.029490983113646507,0.00073,4.120765209197998,6.966933727264404,25008
1350,3463,20.09,28187,-9.00069272,8,0.0012594722211360931,0.03308425843715668,0.00073,4.112026214599609,-0.9145681858062744,25186
1360,3488,19.73,28368,-9.023975400000001,8,0.001167649170383811,0.029400283470749855,0.00073,4.140340805053711,21.064096450805664,25367
1370,3512,20.01,28550,-9.06110085,8,0.0011811483418568969,0.026639092713594437,0.00073,4.141088008880615,2.656712055206299,25549
1380,3539,19.99,28755,-8.97923479,8,0.0011400345247238874,0.02880154922604561,0.00073,4.122483253479004,-4.227018356323242,25754
1390,3568,20.27,28976,-8.979619480000002,8,0.0011528510367497802,0.027311544865369797,0.00073,4.197731018066406,5.909655570983887,25975
1400,3594,20.09,29170,-9.419873650000001,8,0.001173562603071332,0.029006868600845337,0.00073,4.21758508682251,-13.85249137878418,26169
1410,3623,20.24,29383,-9.420330990000002,8,0.0011597624979913235,0.031033387407660484,0.00073,4.245781421661377,18.103647232055664,26382
1420,3651,19.96,29589,-9.62759181,8,0.0012307713041082025,0.028165677562355995,0.00073,4.26283597946167,-2.887427568435669,26588
1430,3681,19.91,29812,-9.759855269999997,8,0.0011862405808642507,0.02963404729962349,0.00073,4.110938549041748,-5.364336967468262,26811
1440,3708,20.11,30020,-9.79823785,8,0.0011781490175053477,0.02966168522834778,0.00073,4.305466651916504,5.311212539672852,27019
1450,3734,20.23,30210,-9.738745699999999,8,0.0011279660975560546,0.024693284183740616,0.00073,4.301142692565918,12.206896781921387,27209
1460,3763,20.59,30427,-9.730245579999998,8,0.001186919049359858,0.028001505881547928,0.00073,4.194634437561035,-4.829214096069336,27426
1470,3797,21.25,30675,-9.7846094,8,0.0011475874343886971,0.027562834322452545,0.00073,4.200562477111816,16.795560836791992,27674
1480,3834,21.92,30947,-9.99377189,8,0.0010983687825500965,0.02933588996529579,0.00073,4.384713649749756,-10.07044506072998,27946
1490,3868,22.28,31204,-10.12901947,8,0.0011267769150435925,0.029216527938842773,0.00073,4.350347518920898,-13.613946914672852,28203
1500,3899,22.64,31434,-9.85054883,8,0.0010566692799329758,0.026611799374222755,0.00073,4.254408836364746,-5.159232139587402,28433
1510,3925,22.43,31626,-9.913419860000001,8,0.0010707019828259945,0.02415851503610611,0.00073,4.360029220581055,-1.8392270803451538,28625
