rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
108.94950253,73.03,5922,7,920,46287,0.00073,-69.42086791992188,43286,8.052082061767578,0.04351784661412239,3.354614019393921
127.07505054,73.03,6024,7,930,47037,0.00073,-75.6792984008789,44036,8.435833930969238,0.04658684879541397,-0.5262441635131836
147.46125077,73.03,6126,7,940,47787,0.00073,-80.88485717773438,44786,9.247076034545898,0.048204902559518814,-4.080783367156982
157.62867871,73.03,6228,7,950,48537,0.00073,-98.69673919677734,45536,9.242999076843262,0.0514470711350441,2.108128309249878
165.24737224999998,73.03,6329,7,960,49287,0.00073,-98.30327606201172,46286,10.250917434692383,0.05227501690387726,1.8248182535171509
183.29657906000003,73.92,6428,7,970,50016,0.00073,-105.24085235595703,47015,12.859542846679688,0.05127047747373581,-8.212446212768555
199.29950458,73.92,6530,7,980,50766,0.00073,-116.64752197265625,47765,10.354177474975586,0.051818668842315674,1.5227580070495605
196.90450607999995,73.92,6630,7,990,51516,0.00073,-123.91516876220703,48515,12.416685104370117,0.05266798287630081,-1.36171555519104
197.68295829,73.25,6722,7,1000,52199,0.00073,-98.65632629394531,49198,10.556655883789062,0.05368712916970253,0.6225338578224182
205.76366007999997,73.25,6824,7,1010,52949,0.00073,-114.26065063476562,49948,9.252021789550781,0.05259806290268898,7.502067565917969
228.92269987999995,74.12,6926,7,1020,53699,0.00073,-117.19603729248047,50698,10.626253128051758,0.05430583283305168,4.361468315124512
229.87588875000006,74.12,7029,7,1030,54449,0.00073,-111.21338653564453,51448,9.160489082336426,0.05536681041121483,3.3343939781188965
227.19955899000004,74.12,7132,7,1040,55199,0.00073,-118.08543395996094,52198,10.57866096496582,0.05525698512792587,5.524927139282227
240.33489664999993,74.12,7234,7,1050,55949,0.00073,-125.36540985107422,52948,8.39117431640625,0.052814967930316925,1.7445614337921143
233.50516521999998,74.12,7336,7,1060,56699,0.00073,-121.68123626708984,53698,9.4794921875,0.054465971887111664,-2.3041062355041504
194.67397861999999,71.75,7403,7,1070,57191,0.00073,-129.0017852783203,54190,11.58718490600586,0.053993109613657,4.536035537719727
152.90110587,68.6,7461,7,1080,57626,0.00073,-135.78207397460938,54625,12.95554256439209,0.05277443677186966,-0.4662981629371643
142.45130809,68.02,7555,7,1090,58318,0.00073,-127.47428894042969,55317,15.953304290771484,0.05029381439089775,4.27061653137207
148.94210838,68.69,7656,7,1100,59068,0.00073,-132.3594970703125,56067,11.239821434020996,0.05300676450133324,0.2499508261680603
160.18005968,68.69,7757,7,1110,59818,0.00073,-138.1935272216797,56817,12.572782516479492,0.05307215452194214,2.2311127185821533
164.88865638000004,68.41,7854,7,1120,60540,0.00073,-128.18919372558594,57539,12.73543643951416,0.05507799983024597,-2.527383327484131
169.18137430000002,68.41,7955,7,1130,61290,0.00073,-138.5808868408203,58289,11.94166374206543,0.05548021197319031,0.20280426740646362
164.8439553,68.19,8053,7,1140,62018,0.00073,-140.42855834960938,59017,11.224843978881836,0.05577648803591728,-0.7622013688087463
159.6372704,67.87,8151,7,1150,62736,0.00073,-161.72171020507812,59735,11.275728225708008,0.054609913378953934,2.1761677265167236
146.27006017000002,66.84,8238,7,1160,63383,0.00073,-165.47122192382812,60382,12.161293983459473,0.05506602302193642,-1.2240347862243652
184.18580245,68.38,8326,7,1170,64029,0.00073,-143.70423889160156,61028,12.953999519348145,0.05413653701543808,4.123500347137451
221.32982032,70.88,8418,7,1180,64714,0.00073,-149.94366455078125,61713,14.159551620483398,0.05569416657090187,1.7441167831420898
218.42243291000003,69.57,8494,7,1190,65275,0.00073,-155.6708221435547,62274,11.789505004882812,0.05581725016236305,-7.154059886932373
214.91231932000002,69.01,8589,7,1200,65969,0.00073,-146.7769012451172,62968,14.849720001220703,0.0549178421497345,1.6367216110229492
211.48080957000002,69.01,8693,7,1210,66719,0.00073,-144.28102111816406,63718,15.345196723937988,0.05748365819454193,9.947738647460938
214.27326632,69.29,8795,7,1220,67469,0.00073,-150.38796997070312,64468,15.171917915344238,0.05920986831188202,-2.407371997833252
185.67347397999998,67.06,8866,7,1230,67996,0.00073,-161.27886962890625,64995,13.59706974029541,0.05729946866631508,-1.01509428024292
161.39733051999997,64.78,8934,7,1240,68496,0.00073,-151.3035888671875,65495,13.910393714904785,0.05676158517599106,0.9715191125869751
157.78287224999997,64.54,9029,7,1250,69190,0.00073,-147.88369750976562,66189,21.638044357299805,0.05919517204165459,4.8480329513549805
193.33180645999997,64.81,9121,7,1260,69864,0.00073,-171.73973083496094,66863,17.700124740600586,0.06358722597360611,3.300039052963257
192.5708391,64.73,9208,7,1270,70502,0.00073,-185.77447509765625,67501,18.758426666259766,0.06310880929231644,-0.7414706349372864
200.80494984,64.74,9300,7,1280,71188,0.00073,-168.34776306152344,68187,19.82682228088379,0.06094301491975784,-0.8012272119522095
239.84271929000002,66.63,9402,7,1290,71938,0.00073,-173.8553924560547,68937,12.346673965454102,0.0648328959941864,-5.549853324890137
259.7424516699999,67.19,9504,7,1300,72688,0.00073,-184.1745147705078,69687,12.491596221923828,0.06478116661310196,-2.343125581741333
269.04856215999996,67.19,9606,7,1310,73438,0.00073,-159.08990478515625,70437,13.209689140319824,0.06243522837758064,-1.7280193567276
277.36479788,67.19,9708,7,1320,74188,0.00073,-177.10336303710938,71187,11.698575973510742,0.06220640987157822,5.352931976318359
307.24866999,69.42,9810,7,1330,74938,0.00073,-167.96197509765625,71937,15.103313446044922,0.0640646293759346,-5.410536289215088
344.79292325999995,71.92,9912,7,1340,75688,0.00073,-166.38003540039062,72687,19.466638565063477,0.06219900771975517,5.778867721557617
366.16699094,72.48,10015,7,1350,76438,0.00073,-172.0960693359375,73437,13.206969261169434,0.06007838249206543,-2.2047786712646484
329.22747888,71.73,10096,7,1360,77037,0.00073,-171.02769470214844,74036,14.308531761169434,0.06038486212491989,-4.701445579528809
325.77229984999997,71.43,10180,7,1370,77645,0.00073,-177.75111389160156,74644,13.866167068481445,0.061481814831495285,-2.1411936283111572
339.74020836000005,72.07,10282,7,1380,78395,0.00073,-176.7979278564453,75394,16.845008850097656,0.059492096304893494,5.861064434051514
343.23780774,72.07,10385,7,1390,79145,0.00073,-182.98007202148438,76144,16.906938552856445,0.06392315030097961,-2.71614408493042
