time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
26231,7,761.85524318,100.0,185000,1850,-393.8031005859375,0.00073,181999,1.1005178689956665,0.0016394726699218154,0.05381721258163452
26376,7,761.6204952199998,100.0,186000,1860,-394.5517883300781,0.00073,182999,-0.8914697766304016,0.0016895215958356857,0.09002083539962769
26526,7,761.55576902,100.0,187000,1870,-394.34283447265625,0.00073,183999,0.8755068182945251,0.0014002720126882195,0.034749921411275864
26680,7,759.8784793200002,100.0,188000,1880,-394.077392578125,0.00073,184999,-1.0132659673690796,0.0016358165303245187,0.03628414869308472
26830,7,760.4060806800001,100.0,189000,1890,-393.3601379394531,0.00073,185999,5.0597758293151855,0.0015737249050289392,0.03847354277968407
26978,7,760.0534031999999,100.0,190000,1900,-394.29266357421875,0.00073,186999,1.9677414894104004,0.0016008683014661074,0.1256410926580429
27127,7,759.05933937,100.0,191000,1910,-394.5414733886719,0.00073,187999,-5.487224102020264,0.0018522102618589997,0.029420949518680573
27279,7,760.9345943100001,100.0,192000,1920,-393.9262390136719,0.00073,188999,-0.7344503402709961,0.0016420749016106129,0.06976794451475143
27430,7,760.92090148,100.0,193000,1930,-393.4654235839844,0.00073,189999,3.20509672164917,0.0018073723185807467,0.05122358724474907
27583,7,762.6792785600001,100.0,194000,1940,-394.269287109375,0.00073,190999,-0.3142278790473938,0.0013144612312316895,0.05963147431612015
27734,7,763.2139983999998,100.0,195000,1950,-394.0509948730469,0.00073,191999,-0.26501160860061646,0.0012770083267241716,0.13201560080051422
27884,7,764.3203077300001,100.0,196000,1960,-394.53619384765625,0.00073,192999,-2.428436279296875,0.001643473980948329,0.08246412128210068
28031,7,764.2090208899999,100.0,197000,1970,-394.12188720703125,0.00073,193999,-5.876005172729492,0.0014071414479985833,0.07623244822025299
28180,7,764.9937245100002,100.0,198000,1980,-394.1642150878906,0.00073,194999,3.1539690494537354,0.0016370151424780488,0.10919973254203796
28328,7,764.2948337900001,100.0,199000,1990,-393.51263427734375,0.00073,195999,4.918199062347412,0.0014116851380094886,0.05992411449551582
28476,7,766.31255273,100.0,200000,2000,-393.4607849121094,0.00073,196999,-0.40587925910949707,0.001716345432214439,0.06547826528549194
28624,7,767.6054432399999,100.0,201000,2010,-394.35540771484375,0.00073,197999,0.20997008681297302,0.0012126846704632044,0.07871033996343613
28773,7,766.0202956300001,100.0,202000,2020,-394.4851379394531,0.00073,198999,-2.8751747608184814,0.0012837601825594902,0.03574655205011368
28921,7,766.25019224,100.0,203000,2030,-393.9454345703125,0.00073,199999,1.1159590482711792,0.0014737745514139533,0.12078041583299637
29069,7,764.4039309999998,100.0,204000,2040,-393.9187316894531,0.00073,200999,0.09211128950119019,0.001622485346160829,0.0956382155418396
29219,7,762.5532776300001,100.0,205000,2050,-393.4098205566406,0.00073,201999,4.094841480255127,0.001311350497417152,0.07792768627405167
